sample_id	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Gracilibacteria	Candidatus Korarchaeota	Candidatus Micrarchaeota	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
FT00450	1	520	13	1	25537	2	1	0	0	0	0	0	0	1	490	7	0	0	47	38	2	16	4	0	28	0	12493	9	0	1	2	1	1	20	4396	13	3	5	9	1	5	3389	1
FT00451	92	6038	33	10	158078	11	1	4	0	0	0	0	18	8	793	114	1	0	54	301	18	148	6	12	319	17	202022	101	16	14	10	31	22	326	13822	213	57	69	12	12	53	5393	2
FT00453	75	40514	38	16	485224	9	0	2	0	1	0	0	26	24	825	366	5	2	42	474	19	811	5	4	456	15	237611	136	17	58	9	1167	50	383	68596	243	53	145	12	11	57	3800	4
FT00454	17	1531	21	5	49335	1	0	0	0	0	0	0	1	1	436	9	1	0	42	72	3	20	2	0	94	3	34046	38	1	4	2	4	3	39	11120	46	11	20	4	2	11	6471	0
FT00455	2	929	23	0	25934	0	0	0	0	0	0	0	0	2	839	5	0	0	72	53	3	14	1	1	132	0	12941	24	0	0	1	3	4	22	9721	17	3	18	6	1	1	665	0
FT00457	5	682	13	2	40212	1	0	0	0	0	0	0	0	0	447	17	0	0	68	64	4	9	1	1	56	2	19707	8	0	2	2	136	0	45	10681	27	13	26	3	0	5	5180	1
FT00458	3	1039	27	0	19057	2	0	0	1	0	0	0	1	0	966	3	0	0	108	56	1	17	2	0	156	1	12396	7	1	3	0	2	0	19	6665	15	12	7	3	0	2	1456	0
FT00459	7	1439	11	3	44815	1	0	1	0	0	0	0	0	2	455	16	0	0	69	55	1	12	1	0	57	0	20255	35	3	1	0	1	2	31	6155	25	20	6	7	4	5	13837	2
FT00460	3	508	15	2	19588	0	0	0	0	0	0	0	0	1	433	6	0	0	15	45	4	11	0	0	89	0	9399	14	0	3	0	1	1	31	4691	15	6	9	1	2	3	3326	0
FT00464	7	660	18	2	21329	0	0	0	0	0	0	0	0	0	470	8	0	0	54	49	2	14	2	1	342	1	15188	4	2	1	1	4	1	27	5864	26	4	15	3	1	5	2741	1
FT00465	6	917	7	2	40089	1	1	0	0	1	0	0	0	4	653	11	1	0	51	58	2	12	0	2	303	1	19485	14	0	0	2	3	2	24	8619	40	6	17	3	0	8	881	1
FT00467	9	1009	16	4	44681	1	0	0	0	0	0	0	1	2	802	8	1	0	53	54	0	17	0	2	34	1	17468	18	0	0	0	1	2	43	4611	34	6	17	4	0	6	3682	1
FT00468	23	8310	42	15	1092016	3	2	0	0	0	0	0	1	24	1010	58	1	0	95	274	12	88	4	1	280	16	134192	104	12	34	6	9	18	192	20928	180	51	96	26	8	45	1030	5
FT00469	11	1382	12	0	45002	0	0	1	1	0	0	0	0	5	643	21	2	0	56	59	3	17	0	1	45	1	19167	35	0	4	0	44	4	38	4119	26	8	23	6	1	3	6970	1
FT00470	7	697	13	1	44556	1	0	0	0	0	0	0	1	1	608	10	1	0	64	46	1	14	0	2	382	0	18996	67	1	1	1	2	1	23	6834	26	11	21	1	0	3	2352	2
FT00471	1	639	20	0	19104	0	0	0	0	0	0	0	0	0	621	3	0	0	52	30	3	5	1	0	44	0	8037	22	1	1	1	0	0	6	10050	14	2	6	3	0	3	3065	0
FT00472	2	483	18	0	13113	0	0	0	0	0	0	0	0	0	814	10	0	0	53	33	2	2	0	0	24	0	7057	5	0	1	0	0	0	16	3465	13	1	10	5	0	1	2464	1
FT00473	1	599	23	0	18637	0	0	0	0	0	0	0	0	1	1049	4	0	0	71	35	0	9	0	1	63	1	7883	4	0	0	0	0	0	8	2010	8	0	8	4	1	3	1347	1
FT00474	3	724	36	2	25783	0	2	0	0	0	0	1	0	2	1194	5	1	0	89	52	2	14	2	0	67	0	13816	22	1	2	0	4	3	24	15594	17	4	9	4	0	3	890	0
FT00475	7	1324	13	2	36410	1	0	0	1	0	0	0	1	5	647	15	0	0	74	70	2	16	1	0	102	0	17054	4	1	1	0	5	2	36	4522	38	7	8	5	0	3	1347	0
FT00476	1	477	9	0	23602	0	0	0	0	0	0	0	4	1	433	2	0	0	62	39	1	7	0	0	86	0	15234	30	0	1	1	2	0	16	7317	16	0	4	10	0	2	2572	0
FT00478	8	4772	9	1	49361	0	1	0	0	0	0	0	3	0	386	11	0	1	43	26	1	15	2	0	46	2	20258	10	4	2	3	9	1	25	8889	20	7	9	4	0	1	5545	2
FT00479	14	1164	8	2	40501	0	0	0	1	0	0	0	0	0	472	8	0	0	47	58	0	18	0	1	406	1	18182	101	3	0	2	2	3	35	5083	25	21	18	7	0	6	2583	2
FT00480	22	7784	6	3	757521	1	0	0	0	0	0	0	2	1	522	22	3	0	59	89	2	47	1	2	66	0	61968	26	4	1	8	21	5	86	68845	53	14	28	2	1	7	7655	4
FT00481	1	658	25	0	26895	0	0	0	0	0	0	0	1	0	711	6	0	0	61	41	0	13	0	0	34	1	10659	8	1	0	0	0	1	12	8772	14	7	15	10	0	1	1525	0
FT00482	5	306	29	0	11854	1	0	0	0	0	0	0	0	0	1232	3	0	0	99	49	1	7	1	0	47	0	8085	8	1	0	0	0	3	13	3284	15	3	3	1	0	0	180	1
FT00483	7	2234	19	2	62838	0	0	0	1	0	0	0	2	0	681	10	1	0	88	60	3	13	0	0	124	3	22010	15	3	3	1	2	0	24	14806	17	9	11	7	3	3	4848	1
FT00484	7	899	16	2	47439	0	1	0	0	0	0	0	3	1	742	5	0	0	61	55	2	9	0	0	107	1	17385	28	3	0	0	3	4	30	4568	32	11	8	3	1	2	2985	1
FT00485	1	916	17	0	66867	2	0	0	0	0	0	0	1	2	644	11	0	1	53	45	3	8	1	0	59	2	22318	58	0	2	2	0	1	30	14258	23	7	19	3	0	3	3839	1
FT00486	6	1067	36	0	27215	0	0	0	0	0	0	0	1	2	1060	6	1	0	77	53	3	18	2	0	134	0	14544	16	1	1	1	7	0	36	13041	13	13	16	6	0	0	1582	2
FT00487	2	1020	11	0	25966	0	0	0	0	0	0	0	1	1	609	8	0	0	47	44	1	2	0	0	125	1	12466	19	0	1	1	3	3	18	10030	24	13	10	5	3	1	1012	2
FT00488	6	703	9	1	79633	0	0	0	0	0	0	0	2	1	721	8	0	0	72	65	3	14	1	0	34	1	24464	14	2	0	0	72	4	31	18323	32	10	11	5	1	1	2347	2
FT00489	3	1508	15	1	31508	0	0	0	0	0	0	0	1	2	906	1	0	0	115	88	1	46	1	1	82	0	13668	9	0	1	0	8	0	30	6016	22	5	13	11	0	2	5522	3
FT00490	3	1431	10	0	11182	1	0	1	0	0	0	0	0	0	579	9	0	0	44	34	1	7	1	0	23	0	8201	6	0	1	1	0	0	15	3906	8	11	14	6	0	2	4123	0
FT00491	6	1613	35	6	44578	0	0	0	0	0	0	0	0	1	1315	12	1	0	120	91	0	21	0	0	45	0	19843	24	1	0	1	4	1	39	11720	34	4	9	7	0	2	4872	2
FT00492	3	185	6	4	14792	0	0	0	0	0	0	0	0	1	507	1	0	0	23	21	0	5	0	0	48	1	5375	24	1	1	0	4	0	6	6815	5	1	2	4	0	1	3462	0
FT00493	0	372	14	1	28933	0	1	0	0	0	0	0	1	0	550	10	0	0	37	39	1	3	0	0	72	0	11193	16	1	3	0	0	0	11	2209	11	2	10	2	1	4	2191	0
FT00495	10	5575	26	1	68389	0	0	0	0	0	0	0	1	2	905	18	1	0	75	76	1	20	0	0	47	1	27274	13	0	2	3	1	3	34	11389	34	4	12	6	1	5	5177	1
FT00496	17	2953	38	4	792286	0	1	0	2	0	0	0	11	7	856	33	4	1	72	191	5	35	4	4	170	8	195122	883	4	1	6	2	10	108	13319	76	30	48	9	9	15	23169	0
FT00497	9	891	12	4	44627	1	0	0	0	0	0	0	1	3	546	21	1	0	64	59	3	12	2	2	291	0	19243	13	4	3	2	2	3	34	7554	25	10	15	3	4	6	2095	0
FT00498	16	1259	35	0	48060	0	0	0	1	0	0	0	4	3	1714	9	0	2	162	89	5	15	0	0	94	2	16412	10	2	0	0	3	0	37	11847	25	4	11	13	0	2	2519	0
FT00499	9	1717	23	0	39678	0	0	1	1	0	0	0	2	1	707	9	0	1	71	77	6	14	0	0	42	1	20028	11	2	2	3	11	2	31	8315	33	11	9	3	0	4	2776	2
FT00500	3	930	13	2	48203	0	0	0	0	0	0	0	0	2	633	9	0	0	55	44	0	12	1	0	67	3	16177	9	0	1	2	1	1	37	5589	14	13	17	9	1	6	4973	3
FT00501	4	480	21	1	29268	0	1	1	0	0	0	0	0	1	664	6	0	1	67	35	1	11	2	1	50	0	10630	6	1	0	0	1	0	14	3128	10	2	10	4	0	2	4228	1
FT00502	5	567	14	2	34127	0	0	0	0	0	0	0	0	1	572	7	1	2	60	44	2	8	2	0	102	0	13261	21	0	1	0	1	6	27	3787	17	4	21	5	0	3	5254	0
FT00503	8	597	31	2	40016	0	1	0	0	0	0	0	1	3	1278	8	2	0	127	59	1	15	0	1	63	0	13923	21	1	0	2	2	1	24	10024	17	4	19	11	2	2	5882	1
FT00504	12	1903	20	5	58847	0	0	0	1	0	0	0	2	1	856	24	0	0	50	73	3	35	0	1	244	3	27507	36	3	1	1	1	4	71	12282	48	23	37	8	2	2	6079	1
FT00505	5	914	26	4	37655	1	0	0	0	0	0	0	2	2	1086	15	2	0	83	58	2	17	1	0	40	0	18824	14	2	1	1	2	3	29	4843	30	6	11	9	2	9	2432	1
FT00506	21	1171	20	0	66068	1	0	0	2	0	0	0	2	5	624	15	2	0	46	82	12	18	1	4	211	1	34841	63	4	2	0	6	7	68	7235	52	12	15	4	4	3	11540	0
FT00507	9	561	30	1	35461	1	0	0	0	0	0	0	0	0	1206	14	0	0	100	70	3	18	0	0	100	1	15378	13	5	1	1	0	1	27	5930	21	7	14	10	0	3	1138	0
FT00508	5	4485	14	0	44498	0	0	0	0	0	0	0	2	1	331	11	0	0	40	50	2	20	0	2	92	0	16219	21	2	3	3	5	3	33	7796	20	2	14	1	1	5	6050	0
FT00510	6	993	16	2	32296	0	0	0	0	0	0	0	2	4	849	5	1	0	73	54	1	15	1	2	69	0	15830	28	0	2	0	3	2	34	22482	20	9	12	7	0	8	2920	0
ST00001	277	57948	62	54	9035762	3	8	0	3	4	0	0	97	104	316	555	19	17	104	1568	53	690	9	50	1757	44	1785483	508	83	28	56	56	139	1476	2482935	1081	263	384	20	37	160	1652	17
ST00003	360	36743	71	52	1715864	46	12	8	4	0	0	0	62	60	338	491	27	2	57	971	50	888	9	33	1533	42	391655	227	165	56	83	1446	116	1718	67518	629	279	337	13	25	130	342927	7
ST00005	388	93143	154	52	3773118	13	22	1	7	7	0	0	231	380	585	962	31	8	156	3430	157	756	33	136	2271	66	2794838	1570	105	90	153	66	289	2397	1510507	2814	319	992	87	94	339	3188	87
ST00006	406	39438	67	71	10140254	19	11	5	1	2	1	0	270	110	518	750	50	28	127	1339	66	640	10	35	1499	56	2024157	631	157	94	23	81	160	1546	105651	1163	228	461	44	70	219	3978	9
ST00008	934	41150	209	112	2113987	18	11	23	113	4	0	0	112	191	892	1049	44	2	194	3437	227	1072	20	33	3553	57	1649991	693	175	87	189	179	206	3625	145550	2194	469	551	31	111	389	49968	20
ST00009	225	40883	108	73	9482053	23	10	1	9	0	0	0	78	96	361	434	40	37	98	1311	92	383	9	20	1086	50	1123757	513	76	109	81	16	147	1281	593907	833	537	382	73	41	226	8247	14
ST00015	297	43163	112	72	3203095	73	4	4	6	18	0	0	193	141	310	630	28	8	180	2000	99	346	22	42	1562	65	3432568	1050	77	26	69	59	152	1564	4500048	1965	277	695	87	81	238	3287	9
ST00016	599	57086	144	163	8038527	97	50	12	8	3	0	0	104	200	869	452	63	19	415	3028	125	921	7	26	2189	154	1619939	885	151	308	99	104	158	2718	2123957	2011	497	916	102	73	378	3777	4
ST00017	893	123463	167	164	457064	41	40	26	16	15	0	0	316	170	823	1524	74	16	214	3824	141	2292	124	66	444384	163	1594371	1412	167	113	170	546	283	3475	144834	2622	839	1969	60	50	448	202689	59
ST00018	656	38140	68	106	6710844	16	19	43	5	1	1	0	121	190	807	1472	84	13	187	2698	89	1627	10	115	2418	113	1499861	714	228	61	190	436	277	3682	149217	1717	317	466	29	90	319	443516	47
ST00019	1002	65811	276	208	2898910	27	19	14	136	3	1	0	162	271	1246	1396	41	6	326	4598	325	1437	32	49	6250	91	2100074	1054	285	126	266	264	295	4815	160438	3245	744	855	74	153	676	49249	14
ST00021	449	89309	64	86	3315299	48	28	23	6	0	0	0	91	51	425	680	59	3	55	1401	48	1106	5	34	1444	67	1497055	336	150	76	74	220	126	2148	93282	821	383	254	27	37	143	860079	25
ST00023	551	205139	71	74	8247981	27	17	23	18	2	0	0	173	78	450	731	61	6	500	2461	75	1076	7	51	2572	111	912428	420	110	75	92	136	185	2234	149202	1032	600	773	145	56	229	26525	38
ST00026	639	53840	204	149	5978455	35	35	12	10	3	0	0	124	257	802	1661	61	8	192	3795	104	1586	49	102	45624	306	1270600	909	138	102	169	213	362	3226	146983	2263	861	1436	84	73	385	12352	16
ST00027	718	72552	162	100	819515	39	25	16	5	10	1	0	135	139	485	871	39	6	233	2687	178	1208	80	43	130387	106	1006738	1757	109	112	105	900	191	2018	132500	2036	575	2828	49	118	401	1477995	19
ST00028	1551	150571	429	295	4018463	72	46	19	36	0	3	22	471	248	1241	1953	218	131	428	5438	248	3451	39	56	9238	297	2850162	1999	455	331	318	426	327	6792	424254	3654	1355	1186	105	231	795	747274	63
ST00030	135	12580	30	33	8897408	49	5	4	10	4	0	0	28	35	169	244	13	1	45	742	26	348	2	19	608	16	906941	292	21	125	48	27	48	642	180220	565	310	349	31	28	130	1369	7
