sample_id	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Archaeoglobi	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Calditrichae	Candidatus Brocadiae	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chrysiogenetes	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Halobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Lentisphaeria	Limnochordia	Methanobacteria	Methanococci	Methanomicrobia	Methanopyri	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermococci	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermoprotei	Thermotogae	Tissierellia	Unclassified Acidobacteria Phylum	Unclassified Actinobacteria Phylum	Unclassified Armatimonadetes Phylum	Unclassified Bacteroidetes Phylum	Unclassified Balneolaeota Phylum	Unclassified Candidatus Bipolaricaulota Phylum	Unclassified Candidatus Cloacimonetes Phylum	Unclassified Candidatus Gracilibacteria Phylum	Unclassified Candidatus Korarchaeota Phylum	Unclassified Candidatus Micrarchaeota Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Chloroflexi Phylum	Unclassified Cyanobacteria Phylum	Unclassified Elusimicrobia Phylum	Unclassified Euryarchaeota Phylum	Unclassified Firmicutes Phylum	Unclassified Kiritimatiellaeota Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Tenericutes Phylum	Unclassified Thaumarchaeota Phylum	Unclassified Verrucomicrobia Phylum	Unclassified candidate division Zixibacteria Phylum	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
ST00315	50	18	69	8396	5077	32	41	4	4	5492	5818090	4078	62	58	6	6	918	33	170	46	18	16	290140	0	5242	2047	29	44	382	6966	4	9	11	2358	1778	17	6	4217	239	13330	23	22	238	11	16	7	3	56	18	27	12	500	1	3	261	117096	48	15	44	90	119	79	314	56	46	1	1434	422	146	5	81	15	23	25	31	187	136	157	0	105	17	22695	4	9	18	8	0	0	32	0	929	11	3	3750	51	369	1772	13	17	40	4	940	2	12
ST00316	38	73	239	14748	10850	57	56	9	33	9870	3110970	18672	21	18	15	0	2457	61	407	55	23	7	487905	7	4439	6637	88	51	671	4463	3	5	10	897	4223	71	38	11445	299	25851	78	68	446	8	92	19	21	77	51	136	30	329	10	11	348	208616	80	5	88	80	183	121	545	72	188	2	4061	587	229	9	81	28	36	37	53	126	163	263	3	186	56	19771	23	8	5	1	0	0	37	0	1452	3	4	6082	32	956	4768	32	41	80	16	1663	47	74
ST00317	198	104	1029	58582	38978	337	246	112	146	41144	3855290	26558	71	153	71	17	5023	215	1334	399	192	123	1108848	16	13401	15182	296	466	2240	28353	40	44	78	5950	14464	206	22	26341	1540	124039	371	157	2061	14	204	169	95	394	197	5241	121	1118	5	69	1137	61553	244	87	437	533	967	460	1985	705	316	9	8948	2939	1229	84	515	156	249	171	283	329	791	1484	13	1081	140	32993	97	31	23	3	0	3	172	1	4610	13	59	26857	75	2843	14285	65	80	243	42	38757	80	131
ST00319	28	80	200	13599	11446	78	143	62	27	41537	4872992	17190	30	14	27	50	3089	84	411	97	49	9	608256	3	5741	7024	130	81	410	7308	3	6	60	2075	3968	74	24	16002	12849	38585	94	22	431	11	176	9	11	63	39	419	109	369	2	18	589	750400	74	27	100	234	232	161	584	85	164	4	5573	1530	267	10	237	55	22	36	83	163	241	429	20	215	64	13142	24	12	10	0	1	0	61	0	2162	2	32	9571	35	834	5270	30	54	82	20	4394	42	33
ST00320	6	11	48	4448	2816	30	25	44	3	6551	2310882	2374	6	9	9	5	448	24	109	16	11	2	307372	0	2854	1070	27	34	113	29796	1	4	5	3864	3809	21	3	2149	16344	544684	15	4	122	5	38	4	1	13	10	62	28	115	0	98	201	1315	24	18	17	59	45	27	168	45	29	0	1097	353	65	3	25	25	0	13	13	31	64	186	3	55	7	14166	5	4	0	1	0	0	18	1	486	6	1	5517	10	226	1713	12	4	19	0	494	6	13
ST00321	237	125	1742	67511	44687	170	217	140	64	55081	3246740	34451	19	53	20	14	6774	210	2807	509	147	33	1688821	19	45043	26205	354	695	2670	33005	34	17	23	6431	27690	469	21	22748	1410	86752	560	65	2677	7	354	55	172	429	263	9659	297	1032	3	248	1092	962029	352	32	273	800	1553	482	2554	712	380	3	8115	3256	792	271	660	184	53	191	458	237	708	1580	264	866	28	32355	154	6	45	3	1	1	99	1	5219	10	16	41839	150	4975	17187	126	53	226	171	178965	51	183
ST00325	55	83	281	268397	13799	205	83	32	37	32482	2754540	12210	52	40	62	15	788	87	466	86	29	16	1430954	25	37546	1575	89	231	849	4194	8	19	27	1259	40403	66	81	2750	624	115187	90	69	693	24	79	28	35	169	99	53	55	350	1	21	575	7237	68	46	190	96	163	179	694	250	69	1	1082	1385	347	27	144	61	60	81	159	105	257	981	2	468	37	7456	8	28	4	2	0	3	78	0	1819	50	16	26062	37	961	4490	52	22	254	18	7604764	54	31
ST00326	33	28	289	39304	11512	216	149	11	34	14877	5734697	9029	5	24	20	2	2917	161	516	154	27	3	551397	56	17138	6668	183	85	592	4471	5	21	20	1623	6260	51	6	11847	378	67902	54	58	397	1	93	54	15	52	39	48	81	341	7	5	456	2718	47	9	71	180	349	114	638	103	68	4	5663	988	195	11	192	67	14	41	165	114	314	316	1	245	139	24171	59	4	1	0	2	0	27	0	1608	2	6	9008	104	869	3892	30	32	45	11	6462	15	24
ST00330	154	112	641	56326	26525	273	123	28	124	27122	6112527	23608	62	62	45	14	2677	105	708	144	53	17	1517217	16	23530	6017	121	169	1903	9952	26	18	54	7062	15402	231	72	10708	674	52987	322	129	1171	14	213	47	12	266	114	368	57	789	13	32	606	5569	179	24	301	258	643	408	1389	424	180	17	3756	1596	678	78	205	93	96	93	223	237	305	1186	6	926	84	33315	68	15	12	5	0	0	126	3	2909	8	35	28714	145	2088	9146	95	54	199	80	55803	106	101
ST00331	93	251	750	32903	23103	198	337	78	111	33633	1900354	18743	24	74	73	85	5039	200	1109	203	31	33	477023	62	13669	14872	409	227	1313	17924	22	32	106	3265	5363	207	70	32696	1048	247121	185	69	925	8	93	57	34	140	116	3941	87	622	7	114	1262	49161	123	29	249	473	534	346	1193	243	619	27	9444	2592	14167	79	275	103	41	83	1274	189	558	680	9	663	51	35572	59	25	49	6	19	1	134	2	4213	16	37	11574	143	2405	9273	75	124	143	24	238668	41	96
