Sample_ID,ruralurban,Methanobacteriales,E2,Actinomycetales,Bifidobacteriales,Coriobacteriales,Bacteroidales,Cytophagales,Flavobacteriales,Sphingobacteriales,YS2,Cryptophyta,Streptophyta,Bacillales,Gemellales,Lactobacillales,Turicibacterales,Clostridiales,SHA_98,Erysipelotrichales,Fusobacteriales,Victivallales,Phycisphaerales,Planctomycetales,Caulobacterales,RF32,Rhizobiales,Rhodobacterales,Rickettsiales,Sphingomonadales,Burkholderiales,Neisseriales,Rhodocyclales,Desulfovibrionales,Campylobacterales,Aeromonadales,Alteromonadales,Cardiobacteriales,Enterobacteriales,Legionellales,Oceanospirillales,Pasteurellales,Pseudomonadales,Vibrionales,Xanthomonadales,Synergistales,I025,Mycoplasmatales,RF39,ML615J_28,Verrucomicrobiales,Thermales
34A,rural,0,0,1.59019381966768,4.84536296611445,1.68486645812261,5.42266915209301,0,0,0,0,0,1.68486645812261,1.02038076874385,1.68486645812261,2.92673429291072,0,5.81641542113321,0,3.30745766202219,0,0,0,0,0,0,0,0,0,0,3.36971225563386,0,0,0,0,0,1.30018099928182,1.02038076874385,3.41790490525761,0,1.46895861551359,3.28025378389272,1.02038076874385,0,0,0,0,0,1.76254969182072,0,0,0
091A,urban,0,0,1.95035987306711,2.60929050347359,1.85466536450845,5.65571730335778,0,0,0,0,1.55966237946058,1.73174493917179,0,0,2.60929050347359,2.02872888871546,5.72394844930469,0,3.66819071802718,3.16060753743705,0,0,0,0,0,0,0,0,0,3.91024787108959,0,0,0,0,0,0,0,3.01776264505192,0,0,1.55966237946058,0,0,0,0,0,0,1.95035987306711,0,3.09194315716835,0
098A,urban,0,0,1.3266908614604,3.02629221494978,1.71217256504633,5.60288344693019,0,0,0,0,0,0,0,1.0456619945431,2.18363996893872,0,5.74095574275212,0,2.98741247057045,0,2.21149081820216,0,0,0,0,0,0,0,0,4.39013914286039,0,0,3.32917996277434,1.0456619945431,0,1.91312131826761,0,3.74434453453087,0,1.85588652894786,2.52450782987845,0,0,0,0,0,0,3.61969542268874,0,3.96234859332475,0
100A,urban,0,0,1.35102099365326,3.29048676807838,2.44672158088895,5.70476092366344,0,0,0,2.03422533311751,0,0,0,1.64226471760775,2.58761923849492,0,5.57194792839375,0,3.26088000589571,4.23379496610407,0,0,0,0,0,0,0,0,0,4.97812102691696,0,1.35102099365326,3.0305977781443,0,0,1.64226471760775,1.35102099365326,3.23995786084941,0,1.64226471760775,0,1.64226471760775,0,0,1.35102099365326,0,0,1.35102099365326,0,2.37445311499004,0
084A,urban,0,0,1.85917633094927,2.39893282021809,2.03326085648053,5.49955770592503,0,0,0,0,0,0,0,0,2.29466990660858,2.03326085648053,5.76075515516432,1.27477150330613,3.46340514552479,2.63229325380925,0,0,0,0,0,0,0,0,0,3.89752682196947,0,0,1.5641114937777,0,0,1.5641114937777,0,4.97902037304605,0,1.27477150330613,1.27477150330613,1.73623509803427,0,0,2.09963258643833,0,0,0,0,2.03326085648053,0
107A,urban,0,0,1.32032947434516,1.61084784026169,2.20485370270031,5.49602398941206,0,0,0,0,0,1.32032947434516,0,0,1.9065250469685,1.61084784026169,5.40584980147215,0,3.91504833532056,0,0,0,0,0,0,0,0,1.32032947434516,0,3.33667204995628,0,0,3.60664895166756,1.32032947434516,0,1.9065250469685,0,5.62023053659461,0,1.61084784026169,0,1.32032947434516,0,0,0,0,0,0,0,0,0
35A,rural,1.37871365514267,0,1.67056835164872,1.67056835164872,2.14146324732445,5.79569156636923,0,0,0,0,0,0,0,1.37871365514267,2.440922604807,0,5.41504774464052,0,3.44668015407349,3.10869131564084,1.84355758928383,0,0,0,0,0,0,0,0,3.45722660976834,0,1.37871365514267,3.03266589142711,0,1.37871365514267,1.67056835164872,0,5.02330445071712,0,1.84355758928383,2.87925283599716,1.84355758928383,0,1.84355758928383,0,0,0,1.37871365514267,0,0,0
11A,rural,0,0,2.49801681220503,2.54901601365075,2.84943218345784,5.75938336417696,0,0,0,0,0,0,0,1.60447853091898,4.40446637737861,0,5.55427851765269,0,3.81240987899898,1.77695577222297,0,0,0,0,0,0,0,0,0,4.37279902285894,0,0,3.36458462154583,0,2.29472382892951,1.31411357183862,0,3.86544579655975,0,1.90007615914745,2.24921107309653,0,0,0,0,0,0,0,0,0,0
10A,rural,0,0,2.12720783255108,4.33003024472653,2.72683082307342,5.46756243772483,0,0,0,0,0,1.30112861460073,0,1.30112861460073,4.62089549449128,0,5.79880416378598,1.30112861460073,3.49647982970088,2.4564694789913,0,0,0,0,0,0,0,0,0,3.60530105041288,1.30112861460073,0,2.06080074656227,0,0,0,0,3.10527315531332,0,1.59116575435949,3.48851346397895,0,0,0,0,0,0,2.42661468140073,0,3.07856054019872,0
109A,urban,0,0,2.45339744347814,3.60520199887561,2.33991252735051,5.69724646816041,0,0,0,1.35742425556755,0,1.35742425556755,1.35742425556755,1.35742425556755,4.25070015332891,1.35742425556755,5.60969546099173,0,3.13757950781498,4.27895955721405,0,0,0,0,0,0,0,0,0,3.30661983784875,0,0,3.23027271507298,2.11938543706876,0,1.35742425556755,0,4.61047089275882,1.35742425556755,1.64881281215739,3.84986719594308,1.82164209935836,0,1.64881281215739,0,0,0,0,0,2.18586066709715,0
31A,rural,2.38032500026821,0,1.90680692978611,0,2.50481122961411,5.79136522123679,0,0,0,0,0,0,0,0,2.46714612656238,0,5.5642757610288,0,2.92993023787285,0,0,0,0,0,0,0,0,0,0,3.75475979393853,0,0,3.49995395963031,0,0,1.4403192607777,0,3.41566250519025,0,0,2.38032500026821,1.4403192607777,0,0,2.2051373437374,0,0,3.03745207739638,0,1.4403192607777,0
29A,rural,0,1.73518004547857,1.73518004547857,1.90859941640639,2.57337401946621,5.84874066269004,0,0,0,2.60325991111862,0,2.03219601926431,0,1.90859941640639,3.71620265881377,1.90859941640639,5.37283333518016,0,3.72283197286475,2.12829875660372,3.38530483483576,0,0,0,0,0,0,1.4420684789715,0,3.93128541523101,1.90859941640639,0,3.49810452547974,1.90859941640639,3.45965904538809,1.4420684789715,1.4420684789715,4.43213857118242,0,1.90859941640639,3.14240090001529,0,0,0,1.73518004547857,0,0,2.70569424779669,0,0,0
101A,urban,0,0,1.55232331245736,3.99865604275054,2.28260880659111,5.7450172879584,0,0,0,0,0,3.19346540590797,0,0,2.70220562836168,0,5.58152634751007,0,3.81535242745797,2.85233907967398,0,0,0,0,0,0,0,1.94289632331226,0,4.61406987787273,0,0,0,0,0,0,0,3.23919507802592,0,1.26330056648403,1.84722285431407,1.26330056648403,0,0,0,0,0,0,0,0,0
083A,urban,0,0,0,3.87017075440989,0,5.75182065579565,0,0,0,0,0,1.36799646138832,0,0,3.01215445075138,2.19684117035001,5.56803561174152,0,3.39054352791116,2.42977276067579,0,0,0,0,0,0,0,0,0,4.67223544272434,0,0,3.12015556970855,0,0,0,0,3.2184685169776,0,1.36799646138832,3.60915232113335,0,0,0,1.36799646138832,0,0,0,0,0,0
13A,rural,0,0,2.09110085976412,3.27343339862258,2.26601681616915,5.70077358371833,0,0,0,0,0,0,0,1.62096540053365,3.40995367242461,2.39036670655456,5.65465153819504,0,3.98979409405667,4.21631404364114,0,0,0,0,0,1.79357780784766,0,0,0,4.08030222729539,1.33020782040808,0,0,1.33020782040808,0,0,0,3.23908355249792,0,1.33020782040808,3.10214921087935,0,0,0,0,1.33020782040808,0,0,0,0,0
093A,urban,0,0,1.90218390565235,2.33804089813596,2.20048533836987,5.60578967185654,0,0,0,1.31614480258645,0,1.31614480258645,0,0,2.61791690437708,0,5.64421942491592,0,3.17000451585656,4.65240353138493,0,0,0,0,3.23938254735019,0,0,0,0,4.97607628175358,0,0,0,0,0,1.7790547334893,0,4.0670084653874,0,2.33804089813596,0,1.31614480258645,0,0,0,0,0,0,0,2.14288423723351,0
094A,urban,0,0,1.68984567190866,3.98842416887966,1.397596611486,5.86100999934449,0,0,0,0,0,0,0,0,2.76081872206466,1.98641771221877,5.28484166546208,0,3.52299860259815,2.16101275892241,0,0,0,0,0,0,0,0,0,4.79865872545489,0,0,0,0,0,0,0,3.57586852110123,0,1.68984567190866,2.72309863721978,0,0,0,0,0,0,0,0,0,0
085A,urban,0,0,1.16163597446019,2.93730359028396,1.16163597446019,5.82912294043884,0,0,0,0,0,0,0,0,2.45436907485514,0,5.446194673052,0,2.76483703971834,0,0,0,1.16163597446019,0,0,0,0,0,0,3.91386323496266,1.16163597446019,0,3.14377081934393,0,0,1.16163597446019,0,4.02608502964124,0,1.44743557094666,1.44743557094666,0,0,0,2.24703089502226,0,0,0,0,4.3741740350686,0
