Sample	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Gracilibacteria	Candidatus Korarchaeota	Candidatus Micrarchaeota	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
ERR1135393	595	27790	356	103	145445	58	66	14	45	57	1	12	173	327	656	912	48	19	384	5056	238	939	70	116	13904	1152	518450	2558	100	156	118	118	186	2633	102647	12141	985	4542	247	219	710	1019	16
ERR1135394	806	52229	360	156	149503	70	79	26	38	26	3	1	102	306	729	1286	94	20	375	4880	232	1447	65	120	6268	524	367911	2374	193	155	158	580	200	3881	95181	7934	1427	4765	191	173	822	1448	58
ERR1135395	747	39299	311	140	164522	58	66	18	41	20	4	3	106	293	700	1100	68	29	326	4355	244	1204	60	114	5474	492	279838	1985	150	158	148	448	196	3342	85479	7555	1218	4291	184	188	735	1353	46
ERR1135396	1241	57882	682	241	293150	103	84	30	79	70	6	4	281	667	1326	2086	98	36	658	8995	433	2008	160	222	14388	2645	1074164	4355	239	331	249	608	368	5894	159461	27250	1951	8415	359	340	1453	2316	62
ERR1135397	1492	77298	650	257	212145	122	76	42	63	66	3	6	253	524	1328	2554	121	38	642	8876	417	2647	88	223	13950	484	1065909	3674	318	290	336	382	383	6706	171761	27480	4226	6676	393	365	1368	2656	58
ERR1135398	1059	59529	488	156	122936	75	50	28	45	56	1	4	217	390	905	1690	78	38	522	6293	341	1977	94	164	30826	1460	583959	3185	200	247	198	229	271	5351	125270	16363	2092	5817	261	252	1098	1766	40
ERR1135399	1048	52344	432	187	125884	74	57	28	61	40	1	4	165	345	847	1709	89	22	472	5411	334	1843	86	151	12951	320	590746	2621	236	186	230	523	251	4501	129119	15007	1679	4395	252	216	911	1886	43
ERR1135400	773	37710	388	141	218107	72	53	18	65	45	2	6	138	539	794	1170	77	40	422	5526	284	1270	89	131	3205	629	663737	2814	158	158	134	133	206	3136	118619	9267	775	4220	198	186	880	1206	26
ERR1135401	1271	65314	623	261	267950	107	99	39	73	63	5	7	260	622	1155	2103	115	37	628	8544	427	2239	135	182	28035	1026	1298695	4189	240	271	246	250	343	6102	156168	17132	1932	8511	350	327	1310	2326	49
ERR1135402	1107	58871	625	198	191213	99	69	29	63	66	5	14	216	623	1036	1784	113	40	751	8282	423	1819	165	202	11565	2232	789907	5846	212	308	196	339	378	4883	135055	23048	2074	9707	456	356	1498	2236	44
ERR1135403	1030	56843	540	193	200285	94	79	31	48	64	3	6	215	530	956	1637	105	29	582	7636	326	1847	100	213	23471	440	1067035	4040	207	258	228	298	339	4743	135571	22838	1691	8197	362	309	1230	1916	50
ERR1135404	1189	81975	585	257	241487	121	77	31	48	58	2	4	245	507	1234	2073	103	38	652	7867	398	2171	114	236	19668	1606	856850	3403	319	268	285	874	365	6642	154640	29794	2692	6320	422	312	1296	2690	51
ERR1135405	1259	95257	541	243	212871	127	80	32	75	61	5	14	325	500	1166	2109	130	51	619	8068	413	2285	125	225	37859	2385	824761	4348	287	248	262	404	324	5855	147275	17666	2083	7583	389	321	1277	2396	45
ERR1135406	1363	75197	582	301	171983	102	88	55	63	46	2	10	252	475	1147	2184	127	24	636	8343	490	2563	156	238	25957	922	561081	3988	271	283	297	482	405	11311	170893	15401	2835	7783	343	348	1356	2688	76
ERR1135407	1589	116549	807	342	353512	148	91	38	83	71	3	6	362	643	1696	2691	126	57	759	10921	460	2856	144	244	22930	8309	1175693	4533	338	370	312	607	488	7017	387837	26820	3143	7524	428	339	1546	3164	74
ERR1135408	2305	137962	1063	448	309423	183	135	54	99	144	3	8	347	899	2021	3698	206	81	945	14253	666	3864	209	388	55373	9359	1555982	6948	419	520	390	536	680	8853	308104	26576	5003	13223	601	481	2373	4367	75
ERR1135409	1808	123271	912	329	329703	163	152	45	100	104	4	4	347	722	1539	2695	150	77	752	11735	665	2787	166	280	25305	2196	1195733	6776	398	394	344	567	524	7597	282307	24335	2435	11037	457	474	2097	3092	78
ERR1135410	1879	162728	1018	371	382490	173	109	28	94	111	4	19	387	880	1849	3241	159	60	1007	13487	666	3194	205	354	70165	12907	1314053	7127	378	467	373	451	534	8054	636660	21864	3802	12226	572	475	2021	4266	95
ERR1135411	1825	94125	812	368	397883	152	107	37	109	81	4	8	286	692	1704	2676	171	53	812	11372	520	2868	164	239	16120	12746	960930	4797	412	359	380	685	504	7448	348991	19342	2862	8795	459	424	1563	3512	77
ERR1135412	1612	115213	730	327	280216	122	87	43	83	100	5	7	313	707	1568	2609	122	46	813	10472	520	2778	169	249	36518	8377	802268	4977	393	354	318	636	484	6658	235365	19397	3154	8928	437	344	1520	3089	78
ERR1135413	1616	139961	842	302	394256	152	118	38	100	103	3	12	321	785	1649	2465	138	45	1013	12108	616	2551	186	268	49799	4512	927289	6456	343	381	324	741	452	6800	928558	22873	3585	11654	574	444	1927	2915	60
ERR1135414	1468	91248	660	252	265525	150	99	48	94	55	2	7	302	630	1262	2142	123	52	649	9221	495	2114	140	228	13959	1782	846875	5151	328	263	267	408	398	5934	229435	21308	1896	8738	316	351	1571	2330	63
ERR1135415	2361	144615	747	453	235799	134	118	46	96	58	7	7	515	620	1879	3788	159	72	805	11161	559	4393	184	305	25611	1159	1008436	4559	453	397	376	556	588	8832	607883	20145	4759	7391	383	354	1597	4026	66
ERR1135416	1954	231786	819	377	335405	138	95	43	93	111	2	3	302	630	1792	3035	192	47	775	11305	579	3364	152	256	32357	12522	1319197	4744	400	332	377	644	503	8099	293426	17643	3422	8679	454	409	1699	7134	92
ERR1135417	1878	111424	967	356	379075	174	148	44	113	114	8	4	336	860	1808	3088	161	81	1100	13811	654	3206	208	326	31580	12653	1212509	6673	359	453	395	500	572	8666	417927	28046	3251	12502	595	496	2038	3403	83
ERR1135418	1866	218916	874	363	276748	172	100	45	103	77	2	2	388	708	1676	3341	177	60	732	10591	561	3321	153	299	34170	20926	1399086	5703	370	396	319	419	482	7141	564913	23205	3929	8657	442	395	1778	3673	91
ERR1135419	1786	131343	952	352	306317	125	115	43	90	77	4	11	327	763	1888	3104	144	63	955	12095	596	3000	198	298	42349	7152	1066638	5919	424	472	325	546	545	8588	330581	23904	7858	10273	503	466	1863	4409	68
ERR1135420	1762	138697	925	382	402880	141	105	53	115	108	3	10	361	863	1910	3006	170	65	966	12768	640	3129	212	304	43536	6958	1053235	6610	364	412	314	374	515	7737	317991	30512	7108	10775	633	471	2149	3588	109
ERR1135421	1869	136607	886	373	343023	137	125	39	107	75	0	9	369	681	1832	3164	180	62	886	12263	564	3631	202	295	50792	4130	1105566	6352	374	475	337	421	531	10796	372134	22266	3973	9633	517	377	1881	3698	118
ERR1135422	2110	126088	1030	486	392010	174	122	45	88	118	7	11	507	1012	2178	3478	190	66	1073	14817	707	3842	218	351	43271	7951	1084212	7064	396	540	410	630	612	9429	468516	27814	4464	12165	670	504	2370	4313	82
ERR1135423	1359	83610	651	294	285262	103	99	35	61	71	4	7	241	814	1342	2068	110	64	726	9629	466	2523	149	215	34972	10148	756948	4664	277	314	241	302	366	5512	274458	21477	2747	8387	479	322	1536	2475	49
ERR1135424	1795	146909	839	362	351782	146	112	31	102	78	2	7	386	756	1858	2787	164	59	780	11971	622	2945	260	293	35307	9466	880522	5127	321	349	300	644	472	7527	386544	33765	3214	9652	509	386	1989	3648	67
ERR1135425	1616	136572	943	314	261088	129	111	35	94	131	8	9	304	765	1444	2784	153	50	952	11977	591	2896	204	276	20656	461	1516403	6570	303	371	262	382	531	6647	682765	18776	3413	12705	539	420	1997	2860	87
ERR1135426	1911	122610	938	383	303751	180	127	45	93	86	4	11	603	849	1777	3286	190	76	895	12410	639	3554	200	308	48932	14921	1200318	5594	366	381	365	434	483	7789	433800	24651	3608	10453	537	448	1933	3440	88
ERR1135427	704	41458	281	137	134719	69	38	14	43	20	1	6	140	236	670	1149	66	24	261	4085	236	1180	48	91	6139	2778	308873	1548	160	150	142	369	214	2995	119897	7887	1448	2914	166	149	621	1390	29
ERR1135428	732	41008	302	162	130312	49	39	17	31	16	0	0	130	240	649	1073	57	27	236	3786	191	1199	51	97	5869	2770	298341	1455	143	135	156	328	196	2821	116742	7238	1407	2861	165	140	625	1359	28
ERR1135429	661	52685	311	124	168918	36	52	15	43	21	2	4	143	253	640	1009	64	30	292	4418	195	987	61	94	9593	4351	304223	2134	125	148	154	639	176	2735	300045	10525	1116	3436	192	163	598	1519	41
ERR1135430	643	51886	296	120	169451	46	55	8	34	18	3	0	92	288	620	1014	52	30	292	4361	226	971	63	99	9851	4261	305967	2129	142	170	132	578	176	2753	300843	10399	1122	3476	172	140	622	1614	38
ERR1135431	1663	118591	590	294	268185	96	75	27	51	82	3	5	255	545	1595	2541	127	65	626	9036	394	2760	105	203	24793	8022	753478	3711	328	299	291	849	411	6616	489709	20096	4785	6642	438	279	1356	4284	67
ERR1135432	1642	96714	721	339	348331	112	89	45	93	69	2	9	343	713	1650	2382	142	55	816	10696	547	2690	149	219	39069	8624	796471	5130	327	371	306	524	441	6423	261093	25254	3775	10033	441	375	1647	3037	68
ERR1135433	626	42666	287	106	105746	41	35	26	33	31	1	4	102	247	599	1043	46	19	318	4060	207	1094	62	76	12681	2022	377147	1908	121	144	111	312	161	2601	119674	7587	1318	3309	157	121	603	1159	30
ERR1135434	587	41626	269	102	102075	50	43	13	20	30	2	5	115	229	612	1012	52	18	302	3906	199	1040	55	68	11679	1944	358974	1834	103	148	115	334	190	2553	116148	7183	1292	3188	133	103	573	1141	29
ERR1135435	698	90853	265	156	157123	52	38	11	30	26	0	1	104	177	677	1104	68	15	275	3983	195	1127	53	77	9388	4989	370650	1461	128	119	114	263	194	3302	156125	7379	2139	2621	148	139	646	21513	38
ERR1135436	660	89574	255	134	151931	53	30	15	27	29	1	7	102	197	622	1063	52	25	244	3973	170	1107	44	64	8853	4854	355589	1451	133	109	110	243	173	3218	152504	7061	2084	2481	128	129	568	21222	33
ERR1135437	613	58224	263	120	111893	43	35	9	24	22	1	2	111	245	582	867	46	20	271	3526	170	1006	39	81	8684	3365	327300	1567	176	140	134	289	160	2672	81577	6700	1068	2724	134	114	547	1283	22
ERR1135438	587	57385	291	122	107554	52	34	5	24	37	1	1	116	258	550	874	52	21	252	3385	181	942	40	78	8296	3185	313353	1464	142	114	126	285	153	2541	79175	6279	1056	2564	126	120	485	1151	21
ERR1135440	858	44141	411	146	149051	86	30	16	55	37	2	2	187	381	800	1354	63	32	378	5552	281	1325	101	146	7948	2064	383013	2976	191	200	169	228	225	3259	190296	9263	1918	5653	212	211	890	1647	31
ERR1135441	938	95655	513	214	151921	68	59	20	53	41	2	6	201	524	880	1629	84	46	533	6400	329	1665	121	153	23402	2280	576323	3927	205	263	173	296	307	3882	310498	9640	2846	6578	315	237	1068	2087	34
ERR1135442	951	93735	502	172	145748	105	52	24	43	44	3	2	166	501	894	1600	75	39	470	6087	308	1697	75	142	21937	2184	549528	3499	209	240	177	281	311	3747	299914	9067	2734	6021	299	228	996	1941	41
ERR1135443	2028	117637	910	438	341210	171	148	52	111	89	9	14	365	881	1969	3264	180	56	929	13009	696	3441	201	319	29986	6950	1087400	6087	432	407	417	905	605	8425	275657	27199	3942	11972	600	463	2050	4003	90
ERR1135444	1787	147801	901	383	378780	152	116	24	97	103	7	9	474	901	1788	2772	148	68	1008	13109	657	2823	200	295	33963	6047	1088415	6714	339	416	339	376	529	7328	630344	29280	3191	12353	595	394	2140	3077	101
ERR1135445	1220	84468	583	204	170925	101	70	33	55	46	0	12	167	478	1211	2329	105	49	574	7375	372	2048	112	193	25990	2866	688960	3511	300	290	297	608	402	5025	157133	13961	2781	6165	328	242	1185	2529	49
ERR1135446	2022	121176	906	415	394891	165	114	42	132	82	1	9	379	838	1911	3192	198	75	932	12432	638	3362	205	307	20260	12881	774980	5745	433	409	400	596	507	7781	256500	21982	3753	10912	548	461	1923	4101	78
ERR1135447	1113	59162	620	213	214311	90	78	25	57	54	1	11	372	782	1036	1728	79	38	657	8103	414	1799	88	193	22136	18974	621833	4259	250	229	191	221	299	4470	260983	20771	2319	8771	390	290	1340	2016	52
ERR1135448	1419	82791	698	272	337498	114	88	47	74	63	3	10	279	645	1483	2406	144	55	688	9259	489	2433	147	222	26080	12275	625671	4268	292	320	262	386	398	6165	405554	18418	2626	8201	445	352	1589	2747	69
ERR1135449	1515	97932	921	296	298498	136	114	39	110	122	6	17	344	859	1600	2681	133	54	892	12533	615	2404	208	302	22684	11527	1110736	6971	270	409	274	247	436	6245	290042	30234	2463	13536	588	436	2100	3020	73
ERR1135450	879	78633	411	182	138258	56	51	19	47	38	1	9	157	368	874	1462	74	42	351	5295	250	1521	72	117	16033	3500	620502	2274	149	169	179	296	226	3948	139343	12703	2040	3686	278	178	835	1648	40
ERR1135451	960	106387	361	185	120457	78	43	21	33	28	3	7	156	305	808	1443	96	21	340	4796	247	1675	63	112	19311	700	446339	1915	174	166	186	255	236	3556	288491	9475	2383	3839	210	208	727	1714	42
ERR1135452	1228	77465	523	247	191724	88	70	25	46	45	4	7	275	529	1075	1904	102	47	526	7138	299	2055	114	171	19826	7470	456678	3333	237	209	216	333	349	4863	231329	12563	2178	6252	318	288	1123	2316	45
ERR1135454	1445	143801	742	287	311129	133	99	38	72	71	2	10	271	739	1479	2378	118	75	939	11156	560	2368	182	262	44344	7422	1038939	6214	283	418	266	390	445	6172	312203	22109	2662	10600	574	414	1700	2753	87
ERR1135455	1698	143477	871	301	275529	173	109	35	97	98	3	4	348	734	1588	2827	120	61	831	11322	548	3037	199	293	48981	4922	1183710	6261	342	379	279	396	508	6878	308452	20126	3729	10710	504	436	1874	3405	67
ERR1135456	1419	93369	663	299	285970	135	94	41	85	80	3	11	260	599	1389	2434	143	44	814	9827	486	2366	153	188	81182	1551	864227	4672	345	334	248	638	409	6084	1123179	20787	3400	8291	473	335	1473	3464	65
ERR1135457	1571	98753	928	295	262128	136	104	65	90	133	3	9	256	845	1470	2492	150	56	1033	11406	654	2605	211	294	50809	6320	960057	7729	326	427	272	364	479	6296	303761	22292	5314	14542	617	483	2137	3302	71
ERR1135458	1717	110679	758	340	281618	209	97	41	100	94	6	11	330	774	1388	2608	140	62	840	11394	452	2752	165	237	11698	7135	1122842	5199	344	320	347	618	462	7466	366611	17742	2834	10065	445	344	1685	2970	63
ERR1135459	1443	89627	637	278	285073	113	117	30	106	83	1	13	292	700	1498	2455	130	61	744	9672	408	2437	125	211	12409	10964	1163391	4393	346	341	277	505	398	7009	201136	24843	2299	8578	390	336	1503	2735	54
ERR1135460	1478	102157	641	292	293980	135	87	41	103	69	2	8	218	647	1431	2235	133	92	787	10032	510	2239	137	272	24616	7303	932912	4846	369	311	296	591	376	6253	186674	18703	2268	9485	501	381	1474	2722	56
ERR1135461	1530	82881	691	279	412024	168	107	14	92	77	6	8	298	663	1429	2305	124	76	707	10839	573	2270	144	231	14030	11238	1030329	4531	373	307	300	473	414	6954	228335	22919	2298	7467	422	349	1479	2810	53
ERR1135462	1302	69930	666	279	170011	92	85	36	75	63	2	10	218	484	1133	2320	98	38	712	8752	481	2341	179	253	28643	1072	653414	4149	345	382	245	434	389	13763	154582	22235	2584	7120	399	314	1423	2577	71
ERR1135463	1076	57754	510	234	147247	87	85	20	56	52	3	6	172	420	950	1904	99	22	594	7402	385	1966	160	214	25101	900	564197	3527	225	292	237	324	358	11604	129751	19139	2157	6155	313	279	1231	2138	72
ERR1135464	2062	110492	882	377	292790	182	119	61	88	99	5	9	321	847	1682	3236	182	46	1076	12864	645	3582	227	377	34828	944	913313	6444	452	477	346	608	579	14652	237972	26701	3406	12704	579	486	2042	3851	87
ERR1135465	1859	106589	793	391	267540	149	109	46	75	82	4	6	323	731	1547	3016	130	42	965	11339	588	3267	223	313	41748	821	873761	5610	421	411	332	659	530	12840	222137	26403	2982	10760	526	432	1901	3446	70
ERR1135466	1571	79157	787	279	318608	145	123	31	104	103	8	6	269	2741	1487	2444	110	71	940	12014	612	2386	195	263	16004	3253	1324285	6521	338	405	313	604	447	6850	210341	29901	2242	11537	537	473	1856	2827	71
ERR1135467	2075	110308	733	381	311940	134	123	33	90	58	4	10	278	658	1856	3243	158	58	871	11551	637	3688	192	286	16199	2953	954168	4366	477	398	388	936	529	17499	235685	25746	3655	7795	407	416	1706	3777	95
ERR1135468	1588	88531	656	321	232552	139	77	51	75	56	4	7	230	546	1241	2481	153	40	699	9709	440	3046	150	245	31352	819	742978	4130	305	337	257	436	520	13128	184236	21916	2688	6817	375	337	1436	2905	54
ERR1135469	1704	82639	832	311	300103	116	85	40	117	63	6	2	306	1790	1574	2724	157	41	967	11228	558	2915	211	284	17662	2181	818457	5722	389	423	338	616	505	10020	204417	37925	3110	11475	453	397	2018	3305	67
ERR1135470	1583	82594	683	331	271108	131	82	37	73	59	3	13	240	548	1474	2747	134	49	668	9551	483	2736	158	231	12125	2205	869288	3689	354	375	281	589	502	15225	182273	21958	2983	6306	360	355	1465	3049	70
ERR1135471	2108	98421	842	431	368463	130	97	51	121	63	5	8	313	698	1920	3353	148	52	1006	12085	660	3452	185	348	28306	2435	812788	5032	510	453	390	1431	557	16151	252583	23599	3449	9313	424	485	1871	4403	98
ERR1135472	2191	121957	935	398	355538	144	146	54	97	100	6	8	336	746	1991	3532	161	63	948	13107	642	3903	257	377	15150	2296	1116087	5621	463	532	352	666	677	20475	259111	28567	3854	9882	491	541	1929	4022	92
