Sample	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Gracilibacteria	Candidatus Korarchaeota	Candidatus Micrarchaeota	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
ERR1135292	1433	57331	762	239	742388	168	118	33	100	67	25	13	413	978	1628	2247	123	68	1000	12334	819	1887	148	368	24817	1782	1313472	6176	327	402	261	592	499	6617	221079	20799	1460	12250	627	407	1848	2498	70
ERR1135293	1241	63702	597	247	663362	155	107	30	61	55	37	10	366	12745	1386	2433	121	88	707	9395	651	1863	109	212	31640	652	1236266	4816	240	307	228	400	443	5486	181329	10643	1446	9063	463	295	1293	2154	85
ERR1135294	1538	78525	569	244	1154444	202	124	40	92	42	49	13	522	15276	1744	2977	121	141	622	11125	867	2188	93	250	36778	893	1985273	4044	282	278	280	306	548	6485	224595	7774	1297	6330	435	369	1141	2784	88
ERR1135295	1316	64014	786	273	651366	154	103	20	87	65	16	11	451	4685	1627	2423	114	70	810	11111	692	2077	144	246	47109	1083	1124338	5207	316	392	314	593	446	6121	177225	13889	1601	10428	463	384	1643	2557	92
ERR1135296	1128	52839	561	209	925212	164	110	26	60	50	18	20	304	13363	1441	1877	123	77	657	9042	695	1577	99	220	23974	701	830283	3926	250	258	211	479	386	5121	169921	18220	897	6659	422	271	1207	2057	57
ERR1135297	1294	54529	632	230	986564	209	123	42	86	54	31	13	293	35485	1605	1879	108	103	864	11746	872	1809	163	309	30922	728	1116162	5065	266	276	278	641	461	5704	252305	16601	1075	11467	513	369	1441	2179	98
ERR1135298	1417	61266	885	278	382218	127	116	39	84	91	14	2	358	966	1467	2375	119	52	1098	10822	608	2204	171	309	62913	593	568937	5852	379	392	331	1267	440	6845	194168	266178	2068	13427	563	426	1850	2635	72
ERR1135299	1589	71169	863	321	354230	145	128	31	91	82	8	10	386	1148	1546	2476	127	50	988	10958	634	2465	185	286	50154	678	744946	6454	422	462	386	1861	490	7252	216824	122422	2304	13052	579	368	1963	2748	85
ERR1135300	1409	62826	802	328	629696	179	138	32	97	100	14	7	374	1248	1649	2698	157	70	1006	11805	725	2190	145	296	31987	887	772915	5804	391	391	304	1023	464	6886	218428	211036	1661	11889	536	390	1768	2797	77
ERR1135301	1630	73343	819	298	661888	158	128	26	74	71	18	16	456	1073	1726	3248	185	91	826	11520	677	2265	132	257	34230	599	907248	5456	368	386	309	761	486	6986	216389	197761	1934	11089	552	418	1768	2785	85
ERR1135302	1290	55935	579	198	765182	144	128	28	102	59	27	16	278	706	1503	2236	133	74	741	10410	735	1964	138	312	15865	460	669644	4494	266	304	254	561	416	5657	185030	223188	1437	8927	421	361	1321	2361	68
ERR1135303	1403	59232	732	276	762895	204	127	33	79	66	13	11	320	973	1739	2399	120	72	807	11392	823	1883	167	298	27531	1020	1356931	4882	278	344	231	287	444	5902	234414	27940	1465	7988	544	396	1463	2432	71
ERR1135304	1624	84689	699	293	692243	191	108	44	95	65	18	14	318	1777	1816	2951	102	93	761	10493	716	2192	135	320	42621	1581	1455877	4459	370	296	330	673	500	6965	278581	30505	1935	8095	537	392	1400	2728	103
ERR1135305	1363	61598	670	264	619388	182	105	36	80	65	17	16	332	18571	1550	2573	91	79	734	10018	699	1910	147	343	51233	1804	1272961	4665	248	352	266	435	458	5732	219777	31782	1533	8067	461	385	1383	2494	63
ERR1135306	1239	54635	656	241	501889	126	120	29	51	66	19	8	314	1831	1311	2003	114	49	738	10154	543	1822	162	254	25181	692	1416128	5017	236	275	235	301	403	5243	257430	16867	1529	9868	431	361	1472	1907	68
ERR1135307	1212	49984	696	181	711440	173	92	38	98	46	15	14	275	1111	1493	2171	57	82	786	10281	731	1465	133	310	37970	848	1006666	4781	246	300	207	229	393	4978	217484	23471	1084	7998	560	412	1297	1930	60
ERR1135308	1958	93740	861	374	796542	257	163	34	85	105	15	14	676	1055	2131	3493	138	112	1090	13672	831	2664	215	391	18536	2472	1456890	6794	445	471	328	406	647	8056	284496	35596	2490	14254	665	494	1986	3321	92
ERR1135309	1374	59718	847	271	516953	173	150	36	109	95	24	13	386	1074	1648	2565	114	78	1202	13065	785	2026	177	354	31971	3139	1077411	7577	366	441	257	445	516	6498	255519	40794	1763	14799	731	526	2001	2500	95
ERR1135310	1722	79449	990	372	613598	194	172	45	102	119	25	11	533	1156	2039	3002	163	72	1175	14401	782	2822	202	382	50022	5421	994176	7049	443	500	410	1032	576	8386	306724	29210	2440	14142	740	514	2171	3381	123
ERR1135311	1477	70016	922	289	484193	156	155	35	93	89	7	10	418	1068	1683	2657	118	58	1171	13471	761	2318	195	328	47805	1354	1553611	6813	334	430	309	613	516	6717	230224	22932	2042	15527	704	475	2047	2690	63
ERR1135312	1589	69310	690	279	764349	204	120	39	80	58	22	28	319	946	1579	2384	139	72	762	10964	660	2297	138	308	42261	1052	1077652	4634	340	351	333	372	441	6639	230183	25887	1682	8526	480	370	1425	2556	75
ERR1135313	1713	71437	776	273	1002079	216	119	33	113	50	29	10	373	1309	1907	2331	161	95	787	12414	961	2344	131	400	34163	1789	1313604	4824	329	321	280	361	484	6868	272695	27649	1539	7922	461	382	1559	2748	80
ERR1135314	1445	58510	874	230	538230	198	111	28	74	91	17	15	504	1042	1593	2323	142	89	972	11689	708	2054	169	392	30864	2134	1078869	5864	328	397	288	549	453	6090	205903	35773	1743	12421	609	423	1800	2461	84
ERR1135315	1234	45963	682	188	782538	183	113	25	105	84	29	15	467	1324	1463	2039	97	55	974	11960	754	1621	146	381	27291	1688	1379939	5996	231	359	233	280	451	5362	223966	53150	1116	11808	603	418	1512	2002	48
ERR1135316	1461	78033	654	303	743694	192	118	51	106	54	17	7	373	15184	1663	2365	115	76	712	10832	725	2390	115	305	57285	1563	1504428	4438	306	316	361	594	513	6578	259151	48830	1574	8862	466	420	1351	2714	75
ERR1135317	1267	53981	631	228	568108	177	108	28	59	58	10	8	282	1047	1483	2003	143	62	752	9887	672	1757	127	319	32788	1987	1039441	4303	295	324	221	409	377	5354	209734	39061	1362	7925	431	359	1323	2169	65
ERR1135318	1988	114902	931	440	553850	177	159	54	127	90	9	16	291	1033	1947	3536	270	57	1111	13699	678	3760	196	368	73545	2652	733392	6432	525	384	526	1448	618	8774	367098	32158	3057	11779	642	557	2057	5065	102
ERR1135319	1770	101754	735	316	252626	139	135	48	62	72	4	8	298	802	1504	2943	148	43	993	10721	563	3406	220	295	78213	9994	734317	5387	424	363	465	1257	453	7688	323209	19643	3104	11094	612	438	1822	3333	90
ERR1135320	1354	71816	636	261	581155	161	120	31	80	65	16	12	274	1074	1398	2545	111	60	693	10020	605	1892	107	292	39101	852	738816	4474	274	276	367	631	434	5872	236459	15811	1548	7210	511	365	1297	2485	76
ERR1135321	1957	105963	803	369	544021	188	156	48	125	96	19	12	387	1212	1906	3299	172	84	1033	13681	801	3366	188	375	49124	969	900326	6430	450	385	422	922	546	8696	301822	40667	2489	12639	620	530	1924	3759	80
ERR1135322	1558	84776	749	293	491471	135	118	31	79	71	14	3	338	1283	1563	2666	133	54	932	10872	591	2828	164	313	46004	672	672009	5354	379	345	331	924	443	6935	211343	38832	2334	9631	496	462	1623	3031	79
ERR1135323	1649	92263	599	306	637114	193	134	44	92	48	25	9	296	969	1672	2459	128	83	699	10259	670	2619	102	243	33140	2292	1343887	4184	406	277	336	567	476	7015	242413	37385	1694	7802	519	363	1241	3022	106
ERR1135324	2214	124339	811	425	528891	228	164	59	67	72	9	14	426	2409	1946	3172	184	79	782	12489	586	3653	171	330	66043	4371	1191579	4760	575	409	449	881	519	9210	326102	42628	2788	9716	554	433	1612	3727	83
ERR1135325	1810	87309	793	315	617940	184	152	35	83	65	16	14	351	2677	1922	2587	160	87	871	11985	678	3008	120	347	65946	2620	838474	5013	385	351	358	589	509	7553	266153	29139	2170	8189	513	438	1626	3177	63
ERR1135326	1342	57031	551	216	671798	192	80	23	70	45	16	16	283	686	1546	2360	94	87	599	9386	581	1791	102	278	32787	1476	1308989	3806	237	255	266	284	372	5340	202479	40729	1262	6391	404	320	1187	2045	71
ERR1135327	1899	99251	839	371	666977	211	126	44	90	74	8	7	445	1084	2023	2967	206	61	1044	14291	752	3129	152	392	49580	6105	1001824	6125	467	458	393	603	514	8463	270793	33231	2486	10319	587	477	1978	3326	52
ERR1135328	1662	101850	679	328	359550	145	138	38	88	75	23	11	338	1585	1732	2909	75	92	754	9933	528	2553	141	250	37836	1140	1465964	4951	419	350	356	682	554	7906	243918	42130	1956	9640	516	366	1634	2868	74
ERR1135329	1635	68947	878	294	600645	179	134	42	145	90	9	11	357	1808	1755	2416	161	51	973	13112	791	2474	180	361	35969	861	988458	6732	323	304	346	405	532	6812	234543	36715	1475	13178	679	481	1973	2842	73
ERR1135330	1239	65606	630	247	614429	157	87	35	129	89	33	9	335	1200	1363	4088	70	86	1051	11913	731	1759	141	359	28891	1043	1202570	6889	309	347	307	535	467	5835	224898	30499	1160	11573	669	465	1689	2316	74
ERR1135331	1349	61656	764	231	671692	145	136	48	144	67	14	14	276	1071	1499	2122	131	72	982	12442	862	2130	157	321	22098	585	814456	5574	301	314	283	371	450	6111	204608	24629	1221	9552	573	509	1581	2540	66
ERR1135332	1388	58975	595	236	616046	171	102	23	93	69	12	9	380	1052	1626	2377	118	59	766	10830	625	1972	156	327	17591	1089	889338	4790	333	262	278	266	394	5703	223751	13361	1246	8679	477	393	1489	2343	52
ERR1135333	1596	78762	706	306	630285	168	151	32	95	62	12	13	290	963	1703	2616	125	59	935	12394	756	2507	154	282	23842	727	974150	5462	373	304	361	496	479	6861	248880	28830	1523	9078	593	439	1624	2811	79
ERR1135334	1852	103420	727	323	1000406	216	136	52	136	100	28	12	381	1173	2068	3332	105	116	945	14165	979	2465	158	399	29137	1034	1976517	6206	374	383	374	445	588	7625	265085	27821	1412	9596	689	512	1687	3032	74
ERR1135335	1401	63025	639	229	655679	150	117	31	104	77	17	6	331	2306	1566	2189	119	76	799	11830	804	1985	141	309	20919	773	1165860	5396	334	301	258	372	455	5914	201199	25106	1151	8707	601	426	1571	2314	53
ERR1135336	1315	69191	708	214	629478	144	106	37	97	87	27	14	295	987	1486	2443	90	84	927	10946	753	1878	152	326	34533	667	1047401	5713	321	318	290	448	452	5770	224974	30882	1226	9741	597	428	1556	2415	73
ERR1135337	1918	86571	791	360	867501	184	150	48	131	96	29	10	385	1433	2054	2929	180	93	917	13708	827	2894	146	438	31941	1640	1051047	5941	398	385	393	500	568	8004	301366	19042	1759	10255	641	491	1851	3285	79
ERR1135338	1927	100183	801	391	614428	222	167	62	87	76	18	29	521	1791	2037	3106	176	58	869	12877	604	3281	163	330	85920	1028	815932	5049	458	377	455	935	508	8399	239619	17194	2055	10438	521	470	1788	3643	87
ERR1135339	1719	87087	539	289	691027	168	124	34	57	48	13	9	380	1093	1774	2917	147	81	564	9516	559	2606	94	263	36688	999	989741	3211	366	248	413	934	443	7290	215855	16865	1406	6039	377	310	1146	2855	78
ERR1135340	2093	113941	862	373	698980	204	170	45	124	66	19	13	372	1131	2180	3352	212	73	868	13574	775	3445	145	340	36172	1456	1319383	5302	490	332	463	503	501	8819	286519	21129	1950	9446	491	467	1816	3623	86
ERR1135341	1655	102938	681	292	702418	166	129	52	103	68	14	19	328	1522	1804	2974	132	81	805	11928	779	2632	141	311	26912	660	1626320	5180	407	295	376	419	544	7275	245950	18665	1511	8917	522	404	1532	2985	64
ERR1135342	1541	76964	750	330	644770	200	130	43	76	90	17	12	309	1302	1734	2677	131	163	831	10676	707	2235	93	305	29066	606	1205904	5100	364	302	404	480	480	6679	222290	31203	1357	8580	456	383	1668	2807	131
ERR1135343	1451	65636	729	261	591133	128	128	24	93	85	12	14	266	1282	1528	2305	191	56	976	11067	606	2317	142	271	36426	599	738346	5179	280	335	299	477	424	6199	222197	19411	1514	10644	563	397	1556	2612	63
ERR1135344	1368	67189	581	246	659484	156	109	24	85	73	16	15	321	1218	1558	2285	99	78	656	9728	617	1853	121	239	20334	930	1174880	4545	288	261	304	406	365	5700	190038	11297	1251	7427	444	356	1217	2327	71
ERR1135345	1595	71413	737	273	918165	173	154	35	124	69	23	12	394	2671	1881	2626	125	121	1065	13216	946	2223	165	325	29402	945	993604	5808	321	322	362	582	552	7232	243371	23247	1388	9983	633	483	1579	2924	67
ERR1135346	1449	77049	689	241	849854	160	146	37	121	74	21	16	369	856	1682	2767	114	95	913	12459	917	2039	167	274	29382	1417	1072424	5799	328	300	253	442	462	6587	230880	22866	1186	11033	615	448	1713	2597	69
ERR1135347	1682	85305	876	304	725700	193	117	39	83	92	16	11	363	1314	1894	3200	141	165	921	14176	753	2698	205	375	25048	1291	1109459	6249	361	460	327	507	554	7324	272339	58611	1694	11389	723	487	1995	2946	81
ERR1135348	1605	86906	754	305	587137	190	127	25	72	76	21	15	417	1390	1724	2688	132	84	898	11594	760	2569	154	288	33097	702	1050122	5339	344	360	348	737	414	6944	237875	28286	1759	9958	555	438	1593	2859	94
ERR1135349	1533	66325	491	227	1058270	169	103	42	92	39	26	12	291	858	1739	2097	76	123	687	10689	847	1840	107	269	22715	909	783310	3905	341	250	282	421	488	6184	196448	18044	949	5912	494	389	1249	2531	61
ERR1135350	1887	107620	726	367	476760	197	136	36	99	84	11	12	376	9164	1738	3197	118	57	960	11624	707	2751	138	291	41157	1361	1020387	5542	418	346	375	772	552	8240	275881	19207	2135	12083	564	401	1697	3225	86
ERR1135351	1576	80671	693	275	750311	160	106	47	106	77	22	8	379	968	1865	3189	141	98	832	11951	726	2500	142	356	42051	600	1087323	4923	356	337	310	541	528	7086	257715	23921	1523	8936	602	419	1618	2959	67
ERR1135352	1790	100034	791	349	482415	182	143	44	111	89	11	12	442	1381	1872	3122	142	79	1037	11764	708	2944	171	245	29331	1140	1170932	5675	523	386	474	979	571	8726	242724	25561	1949	10559	613	406	1713	3448	99
ERR1135353	2204	133385	1076	424	486747	210	141	45	140	106	10	17	306	6348	2253	4561	232	79	1442	16080	929	3958	251	388	39983	865	933515	8330	566	524	554	1106	664	9858	332399	26413	2934	16717	751	608	2656	4713	134
ERR1135354	1412	111790	706	262	549528	176	113	36	91	60	14	8	291	1378	1562	2274	153	55	834	10773	606	2331	152	300	31277	570	816851	4931	351	320	289	418	450	5904	205243	16325	1531	9804	423	425	1411	2717	69
ERR1135355	1340	82557	694	241	502608	136	135	39	80	66	11	9	294	1544	1371	2214	163	66	986	11334	598	2235	135	279	13639	575	780328	5429	311	329	297	398	472	6013	195956	16129	1364	9784	575	385	1518	2499	66
ERR1135356	1962	94741	784	384	553343	205	119	37	89	70	13	4	323	2025	1864	2738	200	69	885	11733	589	3382	124	309	24107	785	626943	4375	508	306	466	830	514	8384	271293	12200	1915	7646	427	407	1594	4114	71
ERR1135357	1984	130107	851	382	620048	180	137	37	122	66	11	7	301	1109	2104	3236	199	75	1004	13133	657	3314	154	335	26539	695	690478	5265	520	352	508	616	504	9037	266441	20775	1712	9838	486	491	1826	4611	58
ERR1135358	1678	95946	729	268	681418	198	133	36	91	74	18	13	355	859	1838	2595	183	86	827	11776	816	2720	140	310	12848	732	752145	4546	431	319	355	446	496	7251	220047	12358	1398	7847	469	411	1402	3096	58
ERR1135359	1790	93534	742	324	397113	169	92	48	98	75	6	10	314	1421	1787	3237	206	56	913	11547	684	3013	194	315	70759	746	975124	5762	386	373	340	412	499	7214	218904	16668	1999	9468	529	503	1877	2940	58
ERR1135360	1624	81275	748	305	466637	144	134	38	108	65	16	11	330	845	1707	2641	144	56	909	11116	658	2750	131	294	26112	710	639315	5097	403	299	352	895	480	7613	232888	14386	1715	10438	506	385	1673	3373	56
ERR1135361	1394	102697	697	287	487562	164	129	30	87	63	6	20	262	840	1598	2437	158	65	791	11011	623	2497	163	287	12230	903	712796	4867	324	289	307	353	388	6444	185850	11302	1372	7995	408	351	1521	2933	50
ERR1135362	1802	241695	834	358	439368	204	136	51	100	78	8	17	325	1295	1914	3302	203	82	1009	13191	651	3235	160	334	23048	763	1023348	6138	400	392	363	344	582	7698	240836	22313	2233	9873	536	472	1847	3365	102
ERR1135363	1731	82996	829	319	595775	179	125	37	115	54	6	5	292	1148	1834	2762	188	63	1000	11840	637	2829	155	320	40723	871	627604	5146	440	383	387	584	446	7555	229126	54550	1665	8913	487	410	1735	3984	66
ERR1135364	1822	96975	1028	420	526667	174	131	51	109	77	5	17	385	1259	2249	3809	177	62	1207	13990	758	3421	200	433	38514	754	759843	6630	527	527	516	803	569	8964	270527	31567	1886	13046	644	483	2123	4370	97
ERR1135365	1823	128756	855	373	620915	164	150	51	91	78	23	7	373	1303	1921	2757	198	97	1085	13393	796	3208	184	459	38330	803	876285	6195	444	377	468	676	528	8329	263712	27667	1852	10823	608	465	1909	3816	89
ERR1135366	1510	104767	648	315	397015	148	119	41	103	60	5	7	260	790	1641	2554	139	68	799	10038	553	2747	149	310	13881	665	710537	4549	384	320	328	673	438	6613	225547	19973	1665	11435	465	366	1489	2826	56
ERR1135379	1937	97946	1006	357	449805	170	134	34	146	84	6	31	335	1316	2031	3228	170	56	1055	13788	646	3385	250	392	22764	3893	1083032	7394	431	526	386	535	588	8621	775447	48077	3218	13123	554	498	2295	4180	105
ERR1135380	1796	80661	927	342	255517	127	119	34	102	83	10	15	458	1337	1528	2858	153	65	1053	12147	705	2851	203	325	25486	2572	925273	6833	325	365	337	665	534	7247	211993	39099	2640	13163	583	520	2283	3346	113
ERR1135381	1358	84017	624	288	391479	129	99	32	73	58	4	12	220	1784	1497	2071	168	57	743	9564	499	2467	131	295	16315	3875	647186	4600	287	333	301	602	381	6328	198134	28077	1692	9133	421	364	1448	2980	70
ERR1135382	1548	84332	867	315	356909	158	109	40	95	82	7	38	262	1316	1688	2690	168	55	923	11303	567	2940	229	321	42828	3812	999763	6155	320	438	313	415	484	7023	632534	40209	2541	10551	559	410	1924	3381	76
ERR1135383	1579	87032	779	291	325348	134	109	43	97	68	4	14	312	2602	1580	2456	170	70	854	10700	565	2732	194	289	41219	4485	853815	5690	318	386	288	372	427	6563	206536	32526	2515	10597	508	381	1814	2676	79
ERR1135384	1301	71303	711	278	281574	117	103	29	94	81	8	5	307	917	1280	1880	120	38	912	10336	534	2214	185	259	20657	3877	677946	5596	296	359	330	1071	404	6356	188949	39893	1784	10482	582	432	1651	2830	60
ERR1135385	1624	85078	990	319	379548	159	131	41	142	118	7	16	383	1442	1722	2703	214	68	1355	14318	779	2728	251	347	49445	1501	1228103	8893	319	494	338	489	541	7531	275870	47465	3049	17472	765	636	2471	3024	79
ERR1135386	1517	81127	682	302	357313	155	116	23	98	73	5	11	292	1569	1511	2275	116	58	831	10257	518	2571	151	279	23304	4165	794635	5091	321	362	299	512	391	6751	260025	29266	2509	9610	485	449	1589	2901	72
ERR1135387	1757	84978	926	390	230599	142	134	30	111	72	6	9	516	1304	1497	2928	177	65	922	11546	667	3010	196	357	33155	2581	1003018	6468	329	416	327	611	481	7368	212644	33919	2888	12653	522	466	2405	3385	119
ERR1135388	1550	78533	851	297	346595	150	105	27	120	63	6	27	266	1271	1589	2534	152	47	939	12152	577	2798	200	310	42682	2104	811048	6478	312	412	326	475	444	6910	555149	42234	2457	11394	611	502	1917	3287	88
ERR1135389	1731	86213	816	364	404350	123	108	34	125	60	14	16	358	1051	1839	2492	170	64	849	11042	617	2804	171	310	58916	2355	791472	5506	320	430	352	456	479	7361	233998	41314	2331	9210	479	429	1777	4221	109
ERR1135390	747	38433	376	131	131747	65	42	24	36	31	4	9	119	368	708	1110	69	16	419	5213	274	1252	81	135	5625	1121	547852	3220	149	179	153	253	205	3155	86933	16254	1286	5407	217	181	901	1528	41
ERR1135391	759	44166	373	175	109363	71	53	17	35	35	2	3	158	309	685	1286	62	13	409	5342	306	1465	86	158	12867	390	327055	2809	187	197	168	216	235	5926	124465	9528	1624	5309	219	196	882	1554	40
ERR1135392	743	35830	302	125	145596	61	39	17	47	25	0	3	143	308	744	1236	58	16	324	4247	211	1223	57	117	7493	1025	479515	1731	160	161	171	409	187	3324	88365	13875	1086	3313	139	165	668	1364	38
