Sample_ID,sample_type,Lentisphaeria,Saprospirae,4C0d-2,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chloroplast,Clostridia,Coriobacteriia,Deferribacteres,Deinococci,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichi,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Methanobacteria,Mollicutes,Opitutae,RF3,Sphingobacteriia,Spirochaetes,Synergistia,TM7-3,Unassigned,Verrucomicrobiae
ST00001,stool,0,0,0,1.63063689344946,0,2.98253027644439,5.67634058302986,1.63063689344946,0,5.66828753290815,3.24384715202283,0,0,0,1.92655394096879,4.03032371033554,0,0,3.75714662762003,0,0,0,0,0,0,0,0,4.60353597729316,1.63063689344946
ST00003,stool,2.45501410653532,0,0,2.03157672697759,2.66528121226876,2.45501410653532,5.6080653701411,3.59190203782668,2.63059731969412,5.72285599191218,3.8987578929454,0,0,4.01433320594444,0,4.28840787740325,0,0,2.80634955100579,0,2.69739884412614,0,2.96584162979271,0,0,0,2.03157672697759,4.27958579954219,3.25820808697979
ST00005,stool,0,1.15194784733322,0,2.41192762433837,0,4.40046170920025,5.63051231337902,0,0,5.70474323737116,0,0,0,2.28384066920108,0,3.6649895884288,0,0,0.880495504558292,0,1.15194784733322,0,0,0,0,0,0.880495504558292,4.55598446004509,0
ST00006,stool,0,0,0,1.92941034209844,0,3.02159403848987,5.66010988446964,4.48359287376173,0,5.67450984237963,3.57274678167449,0,0,3.25694947156495,0,4.15856487097237,0,0,0,0,0,0,0,0,0,0,0,4.27064686361596,0
ST00008,stool,0,0,3.91951597491943,1.19960694002325,1.19960694002325,2.02053595953076,5.79184962795288,4.82207525454007,0,5.47447318678627,2.74026791462305,0,0,3.56056123381452,0,3.10611440693373,0,1.78059362489769,2.02053595953076,0,1.19960694002325,0,2.02053595953076,0,0,0,0,3.28544416519371,2.02053595953076
ST00009,stool,0,0,0,2.48971612965712,1.65297478145736,3.1620226448413,5.73687711786615,1.65297478145736,0,5.57674859251655,4.45143587133128,0,1.65297478145736,3.34237701621289,0,4.53475967474367,0,0,3.34237701621289,0,0,0,0,0,0,0,1.65297478145736,3.91043464777888,1.65297478145736
ST00015,stool,0,0,0,2.09291996339842,0,3.52445271959868,5.83450944997475,4.23830114208118,1.62275553700042,5.46257853798958,3.24934481048215,0,0,0,1.1658601238876,3.07002503069465,0,0,3.31146010394612,0,0,0,0,0,0,0,1.9847761754638,2.91383797038093,0
ST00016,stool,0,0,0,1.92672854511088,2.59934430938384,2.94837510387574,5.85677485204612,1.33982429267051,0,5.4159043909704,3.01452219975528,0,1.33982429267051,1.63080945443627,0,3.08700824480411,0,0,4.19660765972976,0,0,0,0,0,0,0,1.92672854511088,2.93278792455463,0
ST00017,stool,0,0,0,2.78192016513951,3.08259122762507,4.37228503819982,5.07346174035868,3.08259122762507,0,5.88534811794731,4.71062938348927,0,0,3.48031573391217,0,3.82266002371038,0,0,0,0,0,0,2.78192016513951,0,0,0,0,4.39400338892169,2.78192016513951
ST00018,stool,0,0,0,2.45684180806611,1.39403336620423,4.52321174743813,5.49661765816254,4.02454211357985,2.55344834516021,5.7179917128186,3.83408659400748,0,1.39403336620423,2.63242715605523,0,4.8005394863898,0,1.68620934311155,0,0,0,0,0,0,0,0,2.65585496380936,4.56816238893059,4.05287312000807
