Sample_ID,sample_type,Acidobacteria_Gp2,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chloroplast,Clostridia,Cyanobacteria,Deferribacteres,Deinococci,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Fibrobacteria,Flavobacteria,Fusobacteria,Gammaproteobacteria,Lentisphaeria,Mollicutes,Negativicutes,Opitutae,Sphingobacteria,Spirochaetes,Synergistia,Thermomicrobia,Thermoprotei,Thermotogae,Verrucomicrobiae
ST00001,stool,0,3.38793568029544,0,3.05714557486034,5.50028977802371,1.74247526874151,0,5.80697976746233,0,0,0,0,1.74247526874151,4.16914368904893,0,0,0,3.85845717196664,0,0,4.2217098064231,0,0,0,0,0,0,0,1.74247526874151
ST00003,stool,0,4.24836293848487,2.79196012157774,2.603286174177,5.62526848063861,3.59030480673731,2.64098450277079,5.70715544319513,0,0,0,4.02174861503895,1.57258748866462,4.02024340347267,0,1.57258748866462,0,2.79196012157774,2.51637652629956,0,4.3331513359771,0,0,0,1.57258748866462,0,0,0,3.27704234493703
ST00005,stool,0,3.69532485692263,1.32928037561564,4.41893516212279,5.58416046127861,3.2431877397357,1.68547173521481,5.70255498219409,0,0,1.87849588071718,2.32474254479804,2.01165975180467,4.06536806013826,0,0,1.44910229574552,3.52867780211953,0,1.16324536773371,4.80288087123269,0,1.54291302935567,0,0.891058192242715,0,0,0,1.16324536773371
ST00006,stool,0,3.59246152407997,2.10907552832136,3.06030460082037,5.65103326531855,4.48891477805038,0,5.67208306690492,0,0,0,3.27224744719802,0,4.19561672973244,0,1.63865901596939,0,0,0,0,4.45723773406889,0,0,0,0,0,0,0,0
ST00008,stool,0,2.93348877512547,1.79389158440806,1.8894032286361,5.79650766722795,4.83247698437015,0,5.3602789992548,0,0,0,3.57051732593796,0,3.18071603587275,0,0,1.79389158440806,2.18762290614929,0,0,4.84708597556795,0,0,0,0,0,0,0,2.03392759571389
ST00009,stool,0,4.61082565861392,1.6484801717872,3.17038455508357,5.7377063339321,1.6484801717872,0,5.51419561321232,0,0,0,3.37119073270436,0,4.52904604380129,0,1.94460419822912,0,3.37119073270436,0,0,4.65898298604346,0,0,0,0,0,0,0,1.6484801717872
ST00015,stool,0,3.285368740613,0,3.52831029824981,5.83545118664115,4.24557105282412,1.62652268276609,5.36027512748378,0,0,0,0,1.16945655760074,3.09360826346521,0,1.45553269593761,0,3.32106651982329,0,0,4.7769126013516,0,0,0,0,0,0,0,0
ST00016,stool,0,3.04791351853616,2.62124070083681,2.6525766826742,5.85832891289096,1.33951305973812,0,5.40432015681639,0,0,1.33951305973812,1.80317911239089,0,3.23323839116935,0,1.0579151307074,1.0579151307074,4.20229125021523,0,0,3.69032710894413,0,0,0,0,0,0,0,0
ST00017,stool,0,4.91974498536211,3.90663216401494,4.38371752002504,5.09366845859433,3.3948699392779,0,5.87072969780136,0,0,0,3.4917449608421,0,3.83409128690851,0,0,0,0,0,0,3.69581245104549,0,0,0,2.79333448157476,0,0,0,0
ST00018,stool,0,3.87018460948039,1.41866503774314,4.55438491052032,5.50173681742577,4.05212475777383,2.57901638710177,5.72240349332231,0,0,1.41866503774314,2.65800677438861,0,4.8287841158039,0,0,1.71133393917695,0,0,0,4.30052563739433,0,0,0,0,0,0,0,4.0766762581264
