Sample_ID,sample_type,Cerasicoccales,Saprospirales,Actinomycetales,Anaeroplasmatales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Cardiobacteriales,Caulobacterales,Clostridiales,Coriobacteriales,CW040,Deferribacterales,Deinococcales,Desulfovibrionales,Enterobacteriales,Erysipelotrichales,Flavobacteriales,Fusobacteriales,Gemellales,I025,Lactobacillales,Methanobacteriales,ML615J-28,Mycoplasmatales,Myxococcales,Neisseriales,Oceanospirillales,Pasteurellales,Pseudomonadales,RF32,RF39,Rhizobiales,Rhodospirillales,Rickettsiales,SHA-98,Sphingobacteriales,Sphingomonadales,Spirochaetales,Streptophyta,Synergistales,Syntrophobacterales,Thermales,Turicibacterales,Unassigned,Verrucomicrobiales,Victivallales,Xanthomonadales,YS2
ST00001,stool,0,0,1.63063689344946,0,1.63063689344946,5.67634058302986,0,1.63063689344946,1.92655394096879,0,0,5.66828753290815,3.24384715202283,0,0,0,0,3.75714662762003,4.03032371033554,0,0,0,0,2.96324567168682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60353597729316,1.63063689344946,0,0,0
ST00003,stool,0,0,0,0,1.56245805447505,5.6080653701411,2.03157672697759,3.59190203782668,0,0,0,5.72227167475811,3.8987578929454,0,0,0,4.01433320594444,2.72730394781646,4.28840787740325,0,0,0,0,2.39723971170988,0,2.96584162979271,0,0,0,0,0,2.03157672697759,2.50599734637756,2.69739884412614,2.03157672697759,0,1.56245805447505,2.80634955100579,0,0,0,2.63059731969412,0,0,0,0,4.28361806410708,3.25820808697979,2.45501410653532,0,0
ST00005,stool,0,1.15194784733322,2.41192762433837,0,3.27728893791337,5.63051231337902,0,0,0,0,0,5.70474323737116,0,0,0,0,2.28384066920108,0.880495504558292,3.6649895884288,0,0,2.84917646702357,0,4.35309599502402,0,0,0,0,0,0,0,0,0,1.15194784733322,0,0,0,0,0,0,0,0,0,0,0,0,4.55606406455644,0,0,0,0
ST00006,stool,0,0,1.92941034209844,0,0,5.66010988446964,0,4.48359287376173,0,0,0,5.67450984237963,3.57274678167449,0,0,0,3.25694947156495,0,4.15856487097237,0,0,0,0,3.02159403848987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27064686361596,0,0,0,0
ST00008,stool,0,0,0,0,1.48670228547315,5.79184962795288,1.19960694002325,4.82207525454007,0,0,0,5.47438675171279,2.74026791462305,0,0,0,3.56056123381452,1.95427901587206,3.10611440693373,0,1.78059362489769,0,0,1.19960694002325,0,2.02053595953076,0,0,0,0,0,1.19960694002325,0,1.19960694002325,1.19960694002325,0,0,1.78059362489769,0,0,0,0,0,0,0,1.78059362489769,3.28544416519371,2.02053595953076,0,0,3.91951597491943
ST00009,stool,0,0,2.48971612965712,0,1.94914960243785,5.73687711786615,0,1.65297478145736,0,0,0,5.57669797852769,4.45143587133128,0,0,0,3.34237701621289,3.34237701621289,4.53475967474367,0,0,2.24773150356077,0,3.05856256224399,0,0,0,0,0,0,0,0,0,0,1.65297478145736,0,0,1.65297478145736,0,0,0,0,0,0,1.65297478145736,1.65297478145736,3.91277557662355,1.65297478145736,0,0,0
ST00015,stool,0,0,2.09291996339842,0,2.62754356185238,5.83450944997475,0,4.23830114208118,1.1658601238876,0,0,5.46257853798958,3.24934481048215,0,0,0,0,3.29071525957544,3.07002503069465,0,0,0,0,3.46571921344357,0,0,0,0,0,0,0,1.9847761754638,0,0,0,0,0,0,0,0,0,1.62275553700042,0,0,0,0,2.96170618803818,0,0,0,0
ST00016,stool,0,0,1.92672854511088,0,1.7256823173451,5.85677485204612,0,0,0,0,0,5.4159043909704,3.01452219975528,0,0,0,1.63080945443627,1.7256823173451,3.08700824480411,0,0,0,0,2.56372239388057,0,0,0,0,1.33982429267051,0,0,4.19516443201739,2.57592390633102,0,1.33982429267051,0,0,0,0,0,0,0,0,0,1.33982429267051,2.67260324157436,2.97317151380612,0,0,0,0
ST00017,stool,0,0,2.78192016513951,0,3.89520063970431,5.07346174035868,0,3.08259122762507,0,0,0,5.88534811794731,4.71062938348927,0,0,0,3.48031573391217,0,3.82266002371038,0,0,0,0,4.19620299349341,0,2.78192016513951,0,0,0,0,0,0,3.08259122762507,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39400338892169,2.78192016513951,0,0,0
ST00018,stool,0,0,2.45684180806611,0,2.97865745857497,5.49661765816254,0,4.02454211357985,0,0,0,5.7179917128186,3.83408659400748,0,0,0,2.63242715605523,0,4.8005394863898,0,1.68620934311155,0,0,4.51065031430878,0,0,0,0,0,0,0,0,0,0,0,0,1.39403336620423,0,0,0,0,2.55344834516021,0,0,1.39403336620423,0,4.57343321279217,4.05287312000807,0,0,0
ST00019,stool,0,0,0,0,2.40213554328089,5.82444410940046,1.70999348862219,4.06320703027178,0,0,0,5.48702200938515,3.41761104574682,0,0,0,3.15658943828532,1.70999348862219,3.79668036160559,0,0,0,0,2.48102994852517,0,1.88325280296261,0,0,0,0,0,0,0,0,1.41735018562037,0,0,0,0,0,0,0,0,0,0,1.70999348862219,3.3783170401282,2.10282262531022,0,0,2.60560986750796
