Sample_ID,sample_type,Eubacterium,Prevotella,Ruminococcus,02d06,24838,5-7N15,Acetobacter,Achromobacter,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Aerococcus,AF12,Agrobacterium,Akkermansia,Alicyclobacillus,Alistipes,Alkalibacterium,Allobaculum,Anaerococcus,Anaerofustis,Anaerostipes,Anaerotruncus,Anaerovibrio,Anoxybacillus,Atopobium,Bacillus,Bacteroides,Bifidobacterium,Bilophila,Blautia,Brachybacterium,Bradyrhizobium,Brevibacillus,Brevibacterium,Bulleidia,Burkholderia,Butyricimonas,Campylobacter,Capnocytophaga,Cardiobacterium,Carnobacterium,Catenibacterium,cc,Cetobacterium,CF231,Christensenella,Chryseobacterium,Clostridium,Collinsella,Comamonas,Coprobacillus,Coprococcus,Corynebacterium,Dehalobacterium,Deinococcus,Dermabacter,Desulfovibrio,Devosia,Dialister,Dorea,Dysgonomonas,Eggerthella,Enhydrobacter,Enterococcus,Epulopiscium,Facklamia,Faecalibacterium,Finegoldia,Flavobacterium,Fusobacterium,Geobacillus,Georgenia,Granulicatella,Haemophilus,Halomonas,Helcococcus,Janibacter,Jonquetella,Kocuria,Lachnospira,Lactobacillus,Lactococcus,Leptotrichia,Leuconostoc,Lysobacter,Megamonas,Megasphaera,Methanobrevibacter,Microbacterium,Micrococcus,Mobiluncus,Mogibacterium,Morganella,Moryella,Mucispirillum,Mycoplasma,Neisseria,Nesterenkonia,Ochrobactrum,Odoribacter,Oribacterium,Ornithobacterium,Oscillospira,Oxalobacter,Parabacteroides,Paraprevotella,Parvimonas,Pediococcus,Pedobacter,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella.1,Propionibacterium,Propionicimonas,Proteus,Pseudoclavibacter,Pseudomonas,Pseudoramibacter,rc4-4,RFN20,Rhodoplanes,Roseburia,Roseomonas,Rothia,Ruminococcus.1,Scardovia,Schwartzia,Sediminibacterium,Shuttleworthia,Slackia,SMB53,Solibacillus,Sphingobacterium,Sphingomonas,Staphylococcus,Stenotrophomonas,Streptococcus,Succiniclasticum,Sutterella,Synergistes,Tepidimonas,Thermus,Tissierella,Treponema,Trichococcus,Trueperella,Turicibacter,Unassigned,Veillonella
ST00001,stool,3.54475327684256,0,4.10468405245191,0,0,0,0,0,0,0,0,0,0,0,0,1.63063689344946,0,0,0,0,0,0,1.63063689344946,0,0,1.63063689344946,0,0,5.67569110055782,0,0,4.74583914768262,0,0,0,0,0,0,0,1.92655394096879,0,0,0,0,0,0,0,0,0,0,3.20040753181283,0,3.29266936702061,3.0357236175339,1.63063689344946,0,0,0,0,0,4.07370507663265,3.66576683347848,0,0,0,0,0,0,4.87223736755487,1.63063689344946,0,0,0,0,0,0,0,0,0,0,0,4.61730981594972,2.22500471092252,0,0,0,0,0,1.63063689344946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83260154690838,0,0,0,0,0,0,0,1.92655394096879,0,2.10092741930896,0,2.85141090437746,0,0,0,0,0,0,0,0,0,3.70322147618097,0,0,4.31497631252387,0,0,0,0,0,0,0,0,0,0,0,2.87620051635498,0,0,0,0,0,0,0,0,0,0,5.44991268214246,2.82512018069495
ST00003,stool,2.69739884412614,0,3.40182874749942,0,0,0,0,0,0,0,0,1.85749998031332,0,0,2.03157672697759,3.25820808697979,0,0,0,0,0,0,2.80634955100579,0,0,0,0,0,5.38723026244588,2.03157672697759,3.86642761348086,4.07418127403749,0,0,0,0,0,0,0,0,0,0,0,1.85749998031332,3.98660563450837,0,0,0,0,1.85749998031332,3.5879368702688,2.03157672697759,2.15550469233569,4.12446207221138,0,2.55161936332941,0,0,3.22275616402657,0,0,3.34298707986863,0,0,0,0,0,0,3.91780659765371,1.56245805447505,0,0,1.56245805447505,0,0,0,0,0,0,0,0,3.74913267333592,0,0,0,0,0,1.56245805447505,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7626608170341,0,0,4.44195135094936,0,3.64740602830685,0,1.85749998031332,0,0,0,1.85749998031332,0,4.31905712896958,1.56245805447505,2.66528121226876,0,0,0,0,2.03157672697759,0,0,0,0,1.85749998031332,0,0,3.98019593348816,0,0,0,0,3.56335413071846,0,0,0,0,0,0,2.39723971170988,0,3.5798962465025,0,0,0,0,0,0,0,0,5.7844857338867,0
ST00005,stool,3.66312739678679,0,4.46804012337817,0,0,0,0,0,0,0,1.67358345933642,0,0,0,0,0,0,0,0,0,0.880495504558292,0,1.15194784733322,0,0,2.7836807151737,0,0,5.62782168175152,0,0,4.69994274343293,0,0,0,0,1.31771464960104,0,2.40069087795935,0,0,0,0,0,0,0,0,0,0,2.10138366996498,0,0,0,3.06506433066331,1.15194784733322,0,0,0,2.28384066920108,0,4.77419883989463,3.94827161797974,0,0,0,0,0,0,4.59107008832788,1.31771464960104,0,0,3.10954984437829,0,2.70085691021762,0,0,0,0,0,0,3.95973332672401,2.67742385745167,2.73379388595348,0,0,0,0.880495504558292,0.880495504558292,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31771464960104,0,3.73728750018882,0,0,0,0,0,0,0,0.880495504558292,0,3.02909898589566,0,2.16458357600286,0,0,0,0,0,0,0,0,0,3.992990593835,0,2.29848861473945,3.88144050652986,0,0,1.15194784733322,0,0,0,0,0,0,0,0,4.3126568249848,0,0,0,0,0,0,0,0,0,0,5.50974714825749,3.15992236332743
ST00006,stool,2.62427343066445,1.63345997177419,3.94135365090313,0,0,0,0,0,0,0,1.92941034209844,2.103795103546,0,0,0,0,0,0,0,0,0,0,1.63345997177419,0,0,0,0,0,5.63290493257421,0,3.25694947156495,4.55420175816276,0,0,0,0,0,0,3.44294118690739,0,0,0,0,4.12977784936177,0,0,0,0,0,1.63345997177419,3.54244326406413,0,2.52762124084271,4.04158136187585,0,0,0,0,0,0,0,3.26692823005401,0,0,0,0,0,0,5.06178672041466,0,0,0,0,0,0,0,0,0,0,0,0,1.63345997177419,1.92941034209844,1.63345997177419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94595202761158,0,0,3.86384927726958,0,3.54244326406413,0,0,0,0,0,0,0,4.44411421392253,0,2.40311186970462,0,0,0,0,0,0,0,0,0,3.94757206448156,0,0,4.00530055190377,0,0,0,0,0,0,0,0,0,0,0,2.9661330563264,0,4.48359287376173,0,0,0,0,0,0,0,0,5.45479198061939,0
ST00008,stool,1.78059362489769,1.48670228547315,2.57038513722169,0,0,0,0,0,0,0,0,0,0,0,1.19960694002325,2.02053595953076,0,0,0,0,0,0,2.45156737801528,0,0,0,0,0,5.1096986922056,1.19960694002325,3.47461735656511,3.630769800778,0,0,0,0,0,0,3.33879211700092,0,0,0,0,0,0,0,0,0,0,2.67733955738798,2.70361479012545,0,0,3.95092079227857,0,0,0,0,2.55270502930867,0,2.98463919290236,2.25288974135056,0,0,0,0,0,0,3.72158648510455,0,0,1.78059362489769,1.48670228547315,0,0,0,0,0,0,0,0,2.70361479012545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47461735656511,0,0,3.95736479501241,0,3.6682985459312,0,0,0,0,0,0,0,4.83761272927579,0,5.6183882158336,0,0,0,0,0,0,2.12875892647708,0,0,3.10611440693373,0,0,3.11113129852621,0,0,0,0,0,0,0,0,0,0,0,1.19960694002325,0,4.82207525454007,0,0,0,0,0,0,0,1.78059362489769,5.43706172823698,2.12875892647708
ST00009,stool,2.64419600411464,0,4.23094602292657,0,0,0,0,0,0,0,2.42300365485231,3.55181646557015,0,0,1.65297478145736,1.65297478145736,0,0,0,0,0,0,4.04978844720458,0,0,0,0,0,5.72560073415838,0,3.34237701621289,4.41701261033232,0,0,0,0,0,0,0,0,0,0,0,1.65297478145736,0,0,0,0,0,3.50666766440764,4.35164976588238,0,0,4.16306736882368,1.65297478145736,0,0,0,0,0,0,3.21167809676764,0,0,0,0,0,0,4.27264232089405,1.65297478145736,0,0,1.94914960243785,0,1.94914960243785,0,0,0,0,0,0,1.94914960243785,0,2.12361033273368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65297478145736,1.65297478145736,0,4.09961010237146,0,0,0,0,0,0,0,0,1.65297478145736,4.65815943122676,0,2.42300365485231,0,0,0,0,0,0,1.94914960243785,0,0,2.94473304762957,0,0,3.57274463637097,0,0,0,0,0,0,0,0,0,0,0,2.96589885882528,0,1.65297478145736,0,0,1.65297478145736,0,0,0,0,1.65297478145736,5.45020459354234,2.12361033273368
ST00015,stool,2.66757043503863,1.1658601238876,4.57307744116538,0,1.1658601238876,0,0,0,0,0,2.09291996339842,0,0,0,0,0,0,0,0,0,1.1658601238876,0,0,0,0,2.25154056442221,1.62275553700042,0,5.82384417464447,0,0,4.86602570323722,0,0,1.45180972972508,0,1.1658601238876,0,0,1.1658601238876,0,0,0,0,0,0,0,0,0,1.45180972972508,3.21460308628237,0,0,3.60655597859766,0,0,0,0,0,0,0,3.71502411020219,0,0,0,0,0,0,1.84044357649098,0,0,0,2.34126066062496,0,1.9847761754638,0,0,0,0,0,0,1.1658601238876,0,0,0,0,0,0,0,0,0,0,0,0,2.53436753369749,0,0,0,0,0,0,0,0,0,3.90606273029669,0,4.17061585829854,0,0,0,0,0,1.45180972972508,0,4.77624138235009,1.1658601238876,1.1658601238876,0,0,0,0,0,0,0,0,0,2.96170618803818,0,0,2.55135206760127,0,0,0,0,0,0,0,0,0,0,0,3.44706582569894,0,4.23830114208118,0,0,0,0,0,0,0,0,5.02502261988957,1.84044357649098
ST00016,stool,2.36277724700279,1.05821274945572,2.89982768785665,0,0,0,0,0,0,0,1.86947042019353,2.83202000504274,0,0,1.33982429267051,0,0,0,0,0,0,1.05821274945572,3.02320006178352,1.05821274945572,0,1.05821274945572,1.50924487594903,0,5.8234446560147,0,0,3.90894137192368,0,0,0,0,1.50924487594903,0,0,0,0,0,0,0,0,0,0,0,0,3.9038822008135,1.33982429267051,0,1.05821274945572,4.55377304394296,0,0,0,0,1.63080945443627,0,1.50924487594903,3.51136098906414,0,1.05821274945572,0,0,0,0,3.96151383922894,0,0,0,1.63080945443627,0,1.50924487594903,0,0,0,0,0,0,2.93804605623306,0,1.05821274945572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33982429267051,0,0,3.60063909552831,0,0,3.64695364143219,0,1.63080945443627,4.22179776717583,0,0,0,0,0,0,3.68131509326356,1.33982429267051,2.32157288897859,0,0,0,0,0,0,0,0,0,4.13907225101306,0,0,3.478003772275,0,0,0,0,0,0,0,0,0,0,0,2.511169040646,0,0,0,0,1.33982429267051,0,0,0,0,2.67260324157436,5.33830326201262,1.50924487594903
ST00017,stool,3.5594730286481,2.78192016513951,4.03651443612083,0,3.08259122762507,0,0,0,0,0,0,3.78127387167796,0,0,0,2.78192016513951,0,0,0,0,2.78192016513951,0,4.21259238587465,0,0,3.38344164539513,0,0,5.01925225966405,0,0,4.24362478381684,0,0,0,0,0,0,0,0,0,0,0,2.78192016513951,2.78192016513951,0,0,0,0,3.5594730286481,4.50549143273708,0,3.08259122762507,4.53708946715607,0,0,0,0,3.48031573391217,0,0,4.44397545844892,0,0,0,0,0,0,3.78127387167796,3.25856277633566,0,0,3.73552436591535,0,0,0,0,0,0,0,0,3.48031573391217,0,3.08259122762507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62640270939017,0,3.5594730286481,0,0,0,0,3.38344164539513,3.08259122762507,3.25856277633566,0,3.08259122762507,3.38344164539513,0,0,0,0,0,0,0,0,0,4.27258688082518,0,0,4.28637444079509,0,0,0,0,3.68438182425912,0,0,0,0,0,0,4.16144319079097,0,3.08259122762507,0,0,0,0,0,0,0,0,5.80527766919267,2.78192016513951
ST00018,stool,2.94483617650711,0,3.8758859399093,0,0,0,0,0,0,0,2.41919112070177,2.97865745857497,0,0,0,4.05287312000807,0,0,0,0,1.39403336620423,2.15732601915923,0,0,0,1.98274370578058,0,0,5.47193931599854,0,2.63242715605523,4.58539918824106,0,0,0,0,0,0,2.88186147313088,0,0,0,0,4.78438815777262,0,0,0,0,0,0,3.7264706126514,0,2.82395095608715,4.29261714594788,0,0,0,0,0,0,0,4.04920074406242,0,0,0,0,0,0,4.60608950049778,0,0,0,2.93295065062781,0,1.68620934311155,0,0,0,0,0,0,4.28249876110084,0,2.45684180806611,1.68620934311155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60766312187674,1.39403336620423,0,4.13885116742928,0,3.6192834706068,0,0,0,0,0,0,0,4.26265550395807,0,2.0787489806633,1.39403336620423,0,0,0,0,1.39403336620423,0,0,0,3.96051984681561,0,0,4.40675780229008,0,0,0,0,0,0,0,0,0,0,0,4.50616654722132,0,4.00762750183328,0,0,1.39403336620423,0,0,0,0,0,5.56787262538952,2.90815687744215
