sample ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Archaeoglobi	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Calditrichae	Candidatus Brocadiae	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chrysiogenetes	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Halobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Lentisphaeria	Limnochordia	Methanobacteria	Methanococci	Methanomicrobia	Methanopyri	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermococci	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermoprotei	Thermotogae	Tissierellia	Unclassified Acidobacteria Phylum	Unclassified Actinobacteria Phylum	Unclassified Armatimonadetes Phylum	Unclassified Bacteroidetes Phylum	Unclassified Balneolaeota Phylum	Unclassified Candidatus Bipolaricaulota Phylum	Unclassified Candidatus Cloacimonetes Phylum	Unclassified Candidatus Gracilibacteria Phylum	Unclassified Candidatus Korarchaeota Phylum	Unclassified Candidatus Micrarchaeota Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Chloroflexi Phylum	Unclassified Cyanobacteria Phylum	Unclassified Elusimicrobia Phylum	Unclassified Euryarchaeota Phylum	Unclassified Firmicutes Phylum	Unclassified Kiritimatiellaeota Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Tenericutes Phylum	Unclassified Thaumarchaeota Phylum	Unclassified Verrucomicrobia Phylum	Unclassified candidate division Zixibacteria Phylum	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
1A	53	80	403	61168	11234	97	104	60	32	461259	553025	9662	16	41	20	46	1610	171	489	80	22	16	706876	18	77952	6189	217	201	553	10235	35	7	96	2911	6074	100	13	11337	892	255011	113	43	509	5	111	51	9	599	38	143	127	405	0	92	962	128507	55	20	150	176	213	179	637	123	186	6	3527	1157	221	54	202	73	35	47	225	75	282	734	15	722	8	27323	9	9	20	5	1	0	142	2	2451	5	11	18866	34	996	4960	67	28	26	17	2096	26	33
20A	19	55	202	104343	5898	48	62	31	2	32788	2989728	4329	2	14	5	11	1751	93	303	59	18	12	755385	10	26581	4947	90	83	254	4065	29	7	163	1431	6912	64	3	8951	1597	112903	47	3	212	3	50	24	14	60	13	129	87	227	4	41	545	371361	32	7	79	203	65	107	494	58	113	27	3004	875	122	16	62	70	7	8	116	83	218	330	3	287	16	21268	37	30	22	0	0	0	151	2	1412	3	20	14940	24	468	2716	27	39	60	6	367	17	25
21A	52	70	306	24481	11464	111	111	13	32	23441	2383856	15679	10	25	19	11	1491	69	511	65	16	10	570569	21	21598	5119	300	99	618	6587	29	18	28	1900	14349	53	24	9509	991	38514	102	59	470	11	109	23	12	571	39	1511	138	372	4	23	1432	79379	27	18	114	146	173	203	492	123	95	4	2282	1547	624	25	195	63	47	45	101	203	342	836	14	430	69	44225	37	8	6	9	0	1	101	0	1919	12	12	20883	45	851	4914	87	43	82	16	604	26	43
24A	66	43	300	27488	12638	132	122	14	54	31736	3051911	12773	36	49	39	19	938	161	369	150	25	10	1027674	10	9799	2645	94	88	830	3944	53	12	30	3452	10385	53	26	5914	1283	36734	73	76	515	5	60	28	19	156	47	162	116	364	14	15	1665	280270	81	22	134	147	216	129	579	218	38	0	1478	1365	223	47	157	60	78	56	112	160	340	887	30	410	29	14637	19	11	11	17	0	2	87	2	2253	11	15	24627	48	864	4580	143	53	66	20	158883	39	27
25A	9	59	107	28992	4137	61	65	34	4	22743	3596703	5484	8	11	16	27	1449	131	178	15	21	5	1170011	6	9927	3150	148	42	189	1464	11	5	14	1893	34752	32	10	11344	1004	71363	23	9	142	0	88	4	7	23	7	158	80	312	2	11	773	93348	14	20	69	182	40	96	162	41	36	6	3146	1101	74	5	67	39	7	7	38	151	251	876	0	103	31	14905	0	2	7	3	0	3	138	0	1376	10	18	37224	3	425	1904	38	95	33	14	312	16	18
28A	37	115	348	14493	11060	103	104	68	28	18247	598753	8910	19	58	16	24	2497	145	612	59	17	34	418861	38	6547	7503	244	162	471	3233	26	5	234	1719	13874	130	39	14084	782	28742	71	38	426	2	90	45	12	55	27	163	110	344	1	78	731	4157	60	33	131	236	203	141	662	135	143	8	4319	1430	117	39	186	109	13	25	253	137	322	501	13	303	12	22344	33	23	63	0	8	0	52	1	2107	4	19	15658	25	1014	4119	45	63	74	16	346	14	55
29A	24	112	476	13382	9796	66	100	48	47	56352	675702	22001	7	35	14	22	2454	123	487	52	9	9	341362	7	9979	7638	192	110	423	3488	15	1	278	1750	4248	133	7	14664	980	312357	83	25	391	10	63	29	28	911	18	112	136	371	1	85	623	26463	87	55	101	343	179	178	584	130	247	8	4381	1319	196	35	178	82	18	17	461	151	205	417	47	319	32	22333	91	36	66	1	0	2	434	3	2161	3	23	10374	19	874	4372	21	39	68	20	326	12	71
31A	23	76	247	9659	8831	44	63	101	8	20516	1305590	9425	6	71	12	36	2293	127	670	47	4	56	516310	6	10098	7012	316	198	330	3014	16	5	117	1831	6783	99	7	15530	905	58209	67	12	513	13	111	52	13	92	20	851	89	465	1	65	822	164819	74	40	101	178	175	154	481	38	111	0	4924	1243	116	83	203	72	8	2	293	58	386	399	7	183	22	19264	17	3	5	1	0	0	174	1	2197	5	4	14944	6	919	4155	45	30	37	22	743	12	44
34A	37	43	239	359630	8956	65	107	28	16	31007	2299197	7998	16	32	28	9	1572	154	301	76	17	5	1581389	37	9701	3825	99	81	489	2374	22	26	17	3201	18590	98	12	9824	936	78134	40	31	420	11	123	31	20	41	17	142	113	381	2	10	889	38317	37	26	79	170	120	132	323	65	82	4	3062	1332	140	22	130	33	28	23	69	99	267	655	17	328	15	14197	41	3	12	4	0	0	143	0	1788	6	9	36288	17	523	3698	49	10	44	21	598	31	39
35A	52	133	471	10622	9145	69	105	62	11	18004	792580	6907	6	10	14	10	2243	126	469	31	15	10	576018	55	6127	7633	94	130	396	6041	58	10	282	1599	4513	188	12	13215	5248	756532	73	32	349	4	69	47	7	5167	12	1423	52	266	1	72	574	15776	37	15	143	256	132	138	684	123	133	1	3665	1357	113	28	184	171	8	10	176	60	393	398	3	194	15	16872	36	1	36	2	2	0	82	0	1857	8	30	12077	24	908	6521	24	58	59	22	453	59	20
37A	40	85	398	17942	10150	91	109	37	12	284421	437660	8876	14	40	34	22	1955	105	507	44	30	35	775918	21	14384	6300	259	126	497	4719	39	5	190	2475	4416	125	14	11904	1371	539921	98	31	401	5	46	24	9	3276	32	6157	103	308	4	28	698	21179	46	44	153	258	179	158	488	98	201	6	3523	1301	168	28	137	54	10	26	221	114	218	474	21	306	7	17512	23	6	98	1	6	1	83	1	1908	18	6	14863	19	1071	5623	28	54	63	11	378	18	69
39A	38	43	146	11687	6695	57	125	19	6	36806	2544521	16039	18	19	9	19	2028	215	248	61	12	9	1149472	5	34777	4651	118	67	240	3020	16	18	19	2180	48555	42	4	13040	1513	67989	32	22	268	10	106	20	51	35	18	288	234	336	2	7	1084	8368	40	17	80	167	77	142	274	37	63	3	3796	1484	206	5	127	71	13	21	43	160	400	1155	1	242	22	20046	63	0	3	0	2	0	426	0	1621	9	9	29371	13	538	4071	37	26	43	21	506	13	50
3A	33	82	424	21012	11153	60	125	96	31	26988	781496	8377	12	81	22	62	2301	157	627	59	18	20	779361	50	70761	7842	293	266	431	3507	23	8	40	1797	14506	94	10	14337	861	42527	119	54	656	3	128	64	15	38	31	170	78	438	2	78	709	130038	146	55	142	253	209	137	606	91	212	1	4696	1681	152	105	197	114	20	25	256	207	289	481	21	604	19	18420	22	4	7	0	0	0	76	5	2049	26	13	22048	15	980	4146	35	17	45	9	502	24	51
6A	19	56	173	11703	6821	75	118	28	10	22469	3044388	5420	5	2	33	19	1430	84	257	76	28	12	1258739	49	28571	3158	124	97	397	2788	19	24	33	1924	26446	72	12	9976	997	81985	28	26	189	0	140	4	7	36	23	152	136	397	2	22	995	87345	18	13	79	171	69	118	323	62	31	3	2647	1332	114	19	81	47	13	22	59	114	295	776	5	261	26	13927	10	3	12	0	0	0	61	0	1648	4	19	31948	12	506	2740	29	54	38	9	618	19	11
7A	30	49	124	25976	7975	76	116	42	20	198716	1479940	6816	11	48	10	18	1130	119	316	63	27	9	2106366	55	17119	2675	140	141	541	2044	65	14	35	4288	62149	51	11	7708	1524	41598	24	27	359	6	79	10	45	41	23	164	121	423	20	10	1100	23993	26	29	60	196	85	118	366	67	54	17	2213	1689	131	14	139	44	20	11	70	129	340	1121	8	251	9	10907	24	2	12	6	0	0	469	1	1743	35	23	52845	27	522	3341	67	64	29	29	705	17	21
