ID	081A_reads	082A_reads	083A_reads	084A_reads	085A_reads	086A_reads	091A_reads	093A_reads	094A_reads	098A_reads	099A_reads	100A_reads	101A_reads	107A_reads	108A_reads	109A_reads	10A_reads	116A_reads	118A_reads	119A_reads	11A_reads	120A_reads	13A_reads	15A_reads	18A_reads	1A_reads	20A_reads	21A_reads	24A_reads	25A_reads	28A_reads	29A_reads	31A_reads	34A_reads	35A_reads	37A_reads	39A_reads	3A_reads	6A_reads	7A_reads
Phascolarctobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34147	0.0	0.0	0.0	0.0	0.0	0.0	60216	0.0	0.0	68524	0.0	0.0	0.0	0.0	0.0	0.0	97962	0.0	0.0	0.0	72634	97212	0.0	0.0	0.0	0.0
Anaeroglobus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dialister	88266	75448	0.0	2167	0.0	750	58158	0.0	0.0	4119	110667	104189	0.0	0.0	0.0	390	23552	0.0	0.0	0.0	0.0	0.0	57916	0.0	0.0	43980	0.0	0.0	22566	0.0	0.0	88703	0.0	12101	0.0	0.0	0.0	0.0	0.0	0.0
Megamonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	454543	612481	0.0	0.0	0.0	0.0	0.0	0.0	122897	0.0	0.0	0.0	0.0	78059	0.0	0.0	56548	17183	56412	96468	12979	236728	0.0	0.0	4891	42471	0.0	11865	0.0	0.0	68888	25010	0.0
Megasphaera	0.0	0.0	0.0	0.0	7226	0.0	0.0	0.0	0.0	0.0	18909	0.0	0.0	0.0	0.0	2125	0.0	0.0	0.0	0.0	27694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14118	0.0	0.0	0.0	0.0	0.0	0.0	1372	39	0.0	0.0	0.0
Mitsuokella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2014	0.0	0.0	0.0	0.0
Veillonella	2428	16427	0.0	149	994	12496	0.0	0.0	17	164	250	0.0	0.0	0.0	0.0	39817	10179	0.0	0.0	0.0	10308	33	25598	2494	17	4279	2486	1761	3439	0.0	689	4913	221	528	333	13879	2932	1816	0.0	3356
Fusobacterium	0.0	0.0	3777	0.0	0.0	0.0	0.0	17207	967	0.0	350994	21326	775	0.0	0.0	0.0	0.0	2095	0.0	0.0	0.0	6478	17624	0.0	2923	0.0	104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2846	0.0	0.0	0.0	0.0	0.0
Leptotrichia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165	0.0	0.0	0.0	0.0
Leptotrichiaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	342	0.0	0.0	0.0	0.0
Burkholderiales_noname	5681	7413	19080	2592	2778	355	0.0	5454	6420	13186	0.0	34481	14286	0.0	0.0	0.0	926	0.0	0.0	0.0	0.0	3805	0.0	2914	5749	0.0	0.0	2362	1970	4864	839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3353	0.0
Oxalobacter	0.0	0.0	0.0	0.0	0.0	0.0	832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512	0.0	0.0	0.0	632	2300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parasutterella	12897	21129	6998	878	8424	6200	0.0	2273	3017	4415	0.0	17797	4786	1767	160	0.0	2065	0.0	0.0	0.0	0.0	6921	0.0	0.0	4497	0.0	0.0	1043	1185	15521	3597	0.0	0.0	163	0.0	0.0	0.0	0.0	2609	0.0
Sutterella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135439	7921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6738	0.0	87309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105	0.0	7730	0.0	0.0
Sutterellaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2583	35449	0.0	15958	5559	0.0	3860	546	0.0	5121	0.0	0.0	8077	0.0	0.0	2867	3444	49366	0.0	0.0	0.0
Bilophila	0.0	0.0	10743	0.0	10827	0.0	0.0	0.0	0.0	12890	0.0	10687	0.0	32328	14451	20794	398	33417	0.0	18318	6858	26762	0.0	9729	78233	1248	82739	9393	20778	9807	4335	3485	9931	0.0	2464	0.0	803	1051	25590	991
Desulfovibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2598	0.0	0.0	0.0	0.0	4216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1353	1242	58	0.0	0.0	0.0
Aeromonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Succinatimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	595	0.0	0.0	0.0
