Sample_Names,Alias,Geography,Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Bacteroidetes,Balneolaeota,Calditrichaeota,Candidatus.Bipolaricaulota,Candidatus.Cloacimonetes,Candidatus.Gracilibacteria,Candidatus.Korarchaeota,Candidatus.Micrarchaeota,Candidatus.Saccharibacteria,Chlamydiae,Chlorobi,Chloroflexi,Chrysiogenetes,Coprothermobacterota,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus.Thermus,Dictyoglomi,Elusimicrobia,Euryarchaeota,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,Verrucomicrobia,candidate.division.Zixibacteria
ERR1135178,PIG-001,France,2.80545488074987,4.43131895369181,2.42041767225149,2.04195403425664,5.45075452098381,1.83147986211698,1.81209639489145,0.975920576903998,1.596552212019,1.39251749564776,1.06355107603416,0.355852907785806,2.11119096285367,3.58913855952417,2.80717672063721,2.89269058491045,1.74153058885494,1.39989561743705,2.41053671376483,3.63989994022694,2.50048610975695,2.94721801551368,1.70324624055964,2.00178793295368,4.07403300979412,2.22006231598391,5.70793062077252,3.26299795896657,2.13606480435549,2.03011800088464,2.01262942101166,2.20885015557877,2.2167289565071,3.3736579652115,4.96154296173235,4.72721015214061,2.72995942632357,3.52115241848017,2.25206006573236,2.15575729304185,2.73438456694282,3.02053835993335,1.36168378879306
ERR1135179,PIG-002,France,2.42736868148768,3.9767803777058,2.48045744448262,1.7237322297633,5.35172044007304,1.8269940991228,1.55961602836099,0.805456403496613,1.68155139307604,1.46859175710908,0.471256813987298,0.471256813987298,2.11181485139736,4.77625053546468,2.65395058880087,2.76019642135119,1.2926489865946,1.45387874250751,2.55349066663849,3.68110529782386,2.49973074041197,2.4103366485992,1.95741149424372,2.25367318632623,3.59165842371625,2.38566100763028,5.77768772801292,3.43887711397857,1.58799615506022,2.25248509887033,1.7031537118033,1.7031537118033,2.11672142699226,3.13792774664903,4.84172477901882,4.12058999026749,2.40029550484508,3.72625468540882,2.37948870491949,2.22927101595538,2.91546327424224,2.68227302541771,1.28166502238602
ERR1135180,PIG-003,France,2.87892255499718,4.56269736145149,2.65414385554379,2.28584208667673,5.41406464266195,1.84887288884518,1.9653416331535,1.24813666175655,1.64227086245504,1.52243828299341,0.736803471101755,0.578002017307863,2.49302144253959,3.64530414283566,2.97385952638461,3.09539471146191,1.96271424580983,1.6637761290779,2.66421587848977,3.77567121637512,2.51128472610655,3.11624367615551,1.96007086654634,2.27570627211236,4.21853647834751,3.4998716581899,5.70735263621252,3.41913914909447,2.27698626124219,2.28584208667673,2.29329166610425,2.73557212913815,2.41489523243867,3.56199614720174,5.06669486886126,4.38527276959507,2.97283087694583,3.69451358980387,2.3790304511013,2.3790304511013,3.01546708572776,3.19320485705926,1.65849881965225
ERR1135181,PIG-004,France,2.91958053118529,4.60106246999733,2.66708270368602,2.29113207897269,5.40041002847924,1.94070388564255,1.978585044881,1.12163496821455,1.70886587694487,1.5471641530223,0.888053558012328,0.608319767362509,2.22681211745448,2.69850572579608,2.98941128597674,3.1580322842683,1.84956709600133,1.65942036350252,2.67276254651906,3.79510493603159,2.52576125071843,3.15599693137626,1.98960589026756,2.43055673473473,4.33152041314391,3.88869303088755,5.69994540186921,3.4613053552222,2.31876701846461,2.33748224390169,2.27872813835817,2.67613513503664,2.43448138977343,3.57568003086778,5.09721910685595,4.32146323703957,3.11212370411983,3.7721123173358,2.36354998578817,2.39887480195697,3.01375625547376,3.2340442713437,1.70886587694487
ERR1135182,PIG-005,France,3.00514144447181,4.65734881967695,2.64687933333405,2.40056357100411,5.44869526620839,1.97746320441308,1.92454343804694,1.46105737456551,1.66847942166535,1.3168434397256,0.643821068030425,0.643821068030425,2.309337431388,2.66643168390866,3.01638897464475,3.207453295461,1.92804670841641,1.66847942166535,2.64151320740108,3.78729898422018,2.54518812639028,3.2401161807469,1.88013960290335,2.17038290277069,4.26609058556437,3.57377991485944,5.67116098775761,3.41532956441649,2.30202513989838,2.38378729716434,2.30496484712228,2.64286096764182,2.458780416284,3.6293148905592,5.13335163145427,4.14460107387625,3.28238206088458,3.64566296400391,2.3586379569961,2.46490497583978,2.97801688679402,3.32998010258474,1.59241904651322
ERR1135183,PIG-006,France,3.02060655923096,4.63855480596306,2.68446473016999,2.38071267448913,5.52127993390574,1.96765787956571,1.92137463408543,1.28095604341652,1.72105857089152,1.46464252390325,0.755242841945378,0.700830577371445,2.27104592761175,2.69867619769176,3.09539390879386,3.2133545483291,2.00948025493076,1.56256590660223,2.65713738127119,3.87725029283111,2.55254629618348,3.22909479712899,2.00085114630696,2.29382947183782,4.2354135619392,4.19858343646585,5.59511428393071,3.50434095862278,2.30406611859436,2.39967575094264,2.3961826720188,2.63813783261556,2.46521338887743,3.64171081068192,5.13757481279283,4.39487478504236,3.18710899666702,3.70753180235433,2.50519930779695,2.4088555626061,3.05347493526189,3.34177485381324,1.54632627668455
ERR1135184,PIG-007,France,2.79526432744523,4.4251525997401,2.46394557840688,2.09693780715065,5.46807684101851,1.83332753653823,1.74286296645375,0.96373476637485,1.56059583928836,1.33238169677478,1.05109828227036,0.787056280883035,2.17195967780841,2.63800534357528,2.87397276223541,3.05499855598693,1.80288607866833,1.472698921639,2.52914634921357,3.68639463803001,2.49564106363946,2.98997398216329,1.81667967490936,2.15671711611419,4.03228670739554,2.85760467287581,5.73856530027448,3.316762335763,2.17195967780841,2.22011431524509,2.13280069873252,2.3971200338369,2.32971986449034,3.45556371401304,4.93041937475743,4.08071978344536,2.80756859334503,3.58872743374087,2.27777911474788,2.27067783558415,2.85106889837499,3.06870134692092,1.44163775658426
ERR1135185,PIG-008,France,2.57951747857457,4.2752055551094,2.20052985158568,1.82413342671109,5.23196813212933,1.72617626779839,1.46124327159121,1.16043068422195,1.44105024074714,1.07337709948819,0.559672862076784,0.472907765645887,2.0518930188484,2.16396917254286,2.65863334722517,2.8814773793721,1.49446818086535,1.21589584400592,2.24003494618017,3.4007743514002,2.25456540956848,2.74572408040524,1.41441246425895,1.77192194270602,3.46928924098694,2.67431528263835,5.75990066504453,2.99756182834308,2.0581773408411,1.96686007997378,1.94797775287366,2.08244292582116,2.11428661475027,3.26434659514655,5.19673807920827,4.78938692377161,2.69495712009488,3.3092879537063,1.97449168573713,1.95909196606175,2.56031552018853,2.86524585053212,1.32975089761535
ERR1135186,PIG-009,France,2.59141814127504,4.18937176009418,2.16674441986236,1.86600455249506,5.46374105372053,1.84785537186834,1.53996275871889,0.959854175073131,1.5547705702038,0.898424645971205,0.806950461829396,0.342920930152775,1.97816962244835,2.46762927866358,2.70239284290732,2.70057551988376,1.39357304700412,1.46177930327151,2.06946212715417,3.47574064129902,2.44008444293077,2.69665545836556,1.50874056676516,1.8422593490495,3.25714904852307,2.12180893412575,5.73922939545032,2.9616681134792,1.98090684198792,1.81514662772303,1.82502518050565,1.75294532572692,2.04544454960429,3.19904696277691,5.11364902120593,3.17275582645643,2.43579779104456,3.0946490704564,2.02250705879804,1.94833644850829,2.47161436514724,2.81655577564792,0.973943835798833
ERR1135187,PIG-011,France,3.17301831936979,4.83651636695164,2.72245177510237,2.45998943750722,5.49624530337827,2.13829011741341,2.06017258937984,1.53050273222464,1.71968936976236,1.39805876584595,0.485398977748243,0.763530372367547,2.26996941590876,2.64411158801225,3.15878759966462,3.29102914955873,2.11834023393436,1.62484474569143,2.69387552076435,3.85265073278093,2.58325735493386,3.36562768133054,1.99900426908755,2.7529618397949,4.36588276625533,3.31533203310544,5.56417435555722,3.30364676445995,2.60153145553721,2.41428449791281,2.5902005623465,3.05017174382256,2.61763297297239,3.84386354307712,5.23012182004267,4.16624327729418,3.46816278358801,3.59980404839839,2.40617652225425,2.54081026736013,2.98470232066467,3.54276773193428,1.92778585077691
